Substance Evaluation - CoRAP list
Note: Group entries are split in different rows.
Export date: 09-mai-2024 09:03:23
Last updated 02-mai-2024. Database contains 402 unique substances/entries.

"Substance Identifier"	""	
"Evaluating Member State"	""	
"Status"	""	
"Initial grounds for concern (operator is and)"	"true"	
"Initial grounds for concerns"



"Substance name"	"Description"	"EC / List no"	"CAS no"	"Co-Evaluating Member State"	"Year"	"Evaluating Member State"	"Initial grounds for concern"	"Status"	"Latest update"	"Decisions"	"Conclusion document"	"Justification documents"	"CoRAP publication date"	"MS address"	"Member State (MS) contact details"	"MS remarks"	"Further information"	"Remarks"	"DISLIST_CORAP_diss_concern"	"DISLIST_CORAP_relevance"	"First published"	
"2-(1-(3',3'-dimethyl-1'-cyclohexyl)ethoxy)-2-methyl propyl propanoate"	"HELVETOLIDE"	"415-490-5"	"141773-73-1"	""	"2016"	"Germany"	"Suspected PBT/vPvB""Exposure of environment""Wide dispersive use"	"Concluded"	"25-mars-2020"	""	"https://echa.europa.eu/documents/10162/1ddccf59-174d-a229-6477-a83aa1ea48f9"	"https://echa.europa.eu/documents/10162/050181c1-751f-c325-6592-643fd2266a4a"	"17-mars-2015"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund"	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	""	""	"Suspected PBT/vPvB""Exposure of environment""Wide dispersive use"	""	"19-janv.-2016"	
"Formaldehyde"	""	"200-001-8"	"50-00-0"	"Netherlands"	"2013"	"France"	"CMR""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	"Concluded"	"24-mars-2020"	"https://echa.europa.eu/documents/10162/242bc2f0-630f-94fc-f75a-1c2a8f22eaa6"	"https://echa.europa.eu/documents/10162/cc0acabf-6e82-f2ed-5dbe-8058f48ce6c4"	"https://echa.europa.eu/documents/10162/c63dd7f4-fd0d-2a87-825e-d65c7ace82b6"	"29-févr.-2012"	"REACH &amp; CLP Unit, 253 avenue du General Leclerc. 94700 Maisons-Alfort Cedex 
"	"French Agency for Food, Environmental and Occupational Health &amp; Safety (Anses)"	""	""	""	"CMR""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	""	"19-janv.-2016"	
"2-(2-butoxyethoxy)ethyl 6-propylpiperonyl ether"	""	"200-076-7"	"51-03-6"	""	""	"Sweden"	"Potential endocrine disruptor""Suspected PBT/vPvB""Consumer use""Wide dispersive use"	"Withdrawn"	"18-mars-2020"	""	""	"https://echa.europa.eu/documents/10162/c1edf818-675c-7dd5-0527-3e169ac08984""https://echa.europa.eu/documents/10162/6e698470-392a-f1e1-10a4-edb497579c9b"	"29-févr.-2012"	"Esplanaden 3a, P.O Box 2, SE-172 13 Sundbyberg, Sweden "	"Swedish Chemicals Agency"	""	""	""	"Potential endocrine disruptor""Suspected PBT/vPvB""Consumer use""Wide dispersive use"	""	"19-janv.-2016"	
"Bis(4-hydroxy-N-methylanilinium) sulphate"	""	"200-237-1"	"55-55-0"	""	"2020"	"Italy"	"Mutagenic""Sensitiser""Other hazard based concern"	"Concluded"	"11-août-2021"	""	"https://echa.europa.eu/documents/10162/720d04a7-933a-8a10-0fe7-ee1f5b27400d"	"https://echa.europa.eu/documents/10162/0020acd0-d93c-4ccd-dc78-b6d20ea0bdfb"	"18-mars-2020"	""	"National Institute of Health (ISS)"	""	""	"Due to the indication of structural similarity, this substance may potentially be addressed in joint evaluation with 204-616-2, 209-711-2, 220-618-6."	"Mutagenic""Sensitiser""Other hazard based concern"	""	"18-mars-2020"	
"Carbon tetrachloride"	""	"200-262-8"	"56-23-5"	""	"2012"	"France"	"CMR""Exposure of workers""High (aggregated) tonnage"	"Concluded"	"25-mars-2020"	"https://echa.europa.eu/documents/10162/ce6d6e54-5d81-b58c-7e90-a674d9770d63""https://echa.europa.eu/documents/10162/c0577dfc-06b8-37eb-4c71-fb2a13e63663""https://echa.europa.eu/documents/10162/0287f451-0eba-2d25-408f-4801a14b583a"	"https://echa.europa.eu/documents/10162/8bdf4479-4a7c-261b-f195-ad8b4bd6170e"	""	"29-févr.-2012"	"REACH &amp; CLP Unit, 253 avenue du General Leclerc. 94700 Maisons-Alfort Cedex 
"	"French Agency for Food, Environmental and Occupational Health &amp; Safety (Anses)"	""	"<a href=""http://echa.europa.eu/about-us/who-we-are/board-of-appeal/announcements"">The Board of Appeal in its decision in Case No. A-005-2014 has annulled in its entirety a SEv decision for this substance</a>"	""	"CMR""Exposure of workers""High (aggregated) tonnage"	""	"14-janv.-2016"	
"Diethyl ether"	""	"200-467-2"	"60-29-7"	""	"2025"	"France"	"Suspected Carcinogenic""Suspected Mutagenic""Suspected Reprotoxic""Other hazard based concern""Consumer use""Exposure of environment""High (aggregated) tonnage""Wide dispersive use"	"Not started"	"19-mars-2024"	""	""	"https://echa.europa.eu/documents/10162/d682cb91-568f-7ba7-31dc-850b7a406ff5"	"21-mars-2017"	"14 rue Pierre et Marie Curie, 94700 MaisonsAlfort, Cedex
"	"French Agency for Food, Environmental and Occupational Health &amp; Safety (Anses), Chemicals Assessment Unit"	""	""	"Dossier evaluation ongoing, and the process to be completed before initiating substance evaluation. Substance evaluation not expected to start by 2025."	"Suspected Carcinogenic""Suspected Mutagenic""Suspected Reprotoxic""Other hazard based concern""Consumer use""Exposure of environment""High (aggregated) tonnage""Wide dispersive use"	""	"21-mars-2017"	
"3,5-dimethylpyrazole"	""	"200-657-5"	"67-51-6"	""	""	"Spain"	"Reprotoxic""High RCR"	"Withdrawn"	"14-avr.-2021"	""	""	"https://echa.europa.eu/documents/10162/670ab914-e1cb-2fec-a9f3-e2c9fae94d98""https://echa.europa.eu/documents/10162/ba9f625e-f3a7-4777-77a6-ba2935c89679"	"17-mars-2015"	"Paseo del Prado, 18-20. Madrid"	"Ministry of Health"	""	""	""	"Reprotoxic""High RCR"	""	"14-janv.-2016"	
"Methanol"	""	"200-659-6"	"67-56-1"	""	"2012"	"Poland"	"Suspected CMR""Consumer use""Exposure of environment""Exposure of workers""Wide dispersive use"	"Concluded"	"24-mars-2020"	""	"https://echa.europa.eu/documents/10162/d3be530c-d848-8e79-fc3d-54bcf5735498""https://echa.europa.eu/documents/10162/b25849ba-099e-2cd9-83c2-bb6e641c0fef"	""	"29-févr.-2012"	""	"Bureau for Chemical Substances"	""	""	""	"Suspected CMR""Consumer use""Exposure of environment""Exposure of workers""Wide dispersive use"	""	"19-janv.-2016"	
"Butan-1-ol"	""	"200-751-6"	"71-36-3"	""	"2017"	"Hungary"	"Suspected Reprotoxic""Consumer use""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	"Concluded"	"24-mars-2020"	""	"https://echa.europa.eu/documents/10162/7309fbf5-a2ff-db76-1b60-5eb933a5bb92"	"https://echa.europa.eu/documents/10162/7a14f659-46bc-d5f5-e946-1754012a782a"	"21-mars-2017"	""	"National Public Health Center"	""	""	""	"Suspected Reprotoxic""Consumer use""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	""	"21-mars-2017"	
"pentan-1-ol"	""	"200-752-1"	"71-41-0"	""	"2016"	"Lithuania"	"Suspected Sensitiser""Consumer use""Exposure of workers""High RCR""Wide dispersive use"	"Concluded"	"24-mars-2020"	""	"https://echa.europa.eu/documents/10162/44b2bd3a-f35a-fc95-e426-fcc923c0f72d"	"https://echa.europa.eu/documents/10162/3f4ce8ce-d7ac-091e-e5d7-b7bcc7b22449"	"17-mars-2015"	"Chemical Substances Division, A. Juozapaviciaus str. 9,  LT- 09311 Vilnius, Lithuania 
"	"Environmental Protection Agency"	""	""	""	"Suspected Sensitiser""Consumer use""Exposure of workers""High RCR""Wide dispersive use"	""	"14-janv.-2016"	
"Chloromethane"	""	"200-817-4"	"74-87-3"	""	"2012"	"Italy"	"CMR""Potential endocrine disruptor""High RCR"	"Concluded"	"25-mars-2020"	"https://echa.europa.eu/documents/10162/154e94ab-c269-7165-7ab5-d85c162ceb6f"	"https://echa.europa.eu/documents/10162/694abb41-08c1-e0e6-a843-0299d6f70817"	""	"29-févr.-2012"	"299 Viale Regina Elena, 00161 ROME 
"	"Institute of Health"	""	""	""	"CMR""Potential endocrine disruptor""High RCR"	""	"14-janv.-2016"	
"Dichloromethane"	""	"200-838-9"	"75-09-2"	""	"2016"	"Italy"	"Carcinogenic""Suspected Mutagenic""Suspected Reprotoxic""Potential endocrine disruptor""Suspected Sensitiser""High (aggregated) tonnage"	"Concluded"	"25-août-2021"	""	"https://echa.europa.eu/documents/10162/584c17dc-2501-2c47-d008-8638d1fc1013"	"https://echa.europa.eu/documents/10162/fb725257-1cbd-6e77-ab73-f051bd7c8f9f"	"22-mars-2016"	"299 Viale Regina Elena, 00161 ROME"	"Institute of Health"	""	""	""	"Carcinogenic""Suspected Mutagenic""Suspected Reprotoxic""Potential endocrine disruptor""Suspected Sensitiser""High (aggregated) tonnage"	""	"22-mars-2016"	
"Carbon disulphide"	""	"200-843-6"	"75-15-0"	""	"2013"	"France"	"CMR""Potential endocrine disruptor""Exposure of environment""Exposure of workers""High (aggregated) tonnage"	"Concluded"	"11-avr.-2022"	"https://echa.europa.eu/documents/10162/f151b5a9-40da-2f85-7469-cfa0abb2820b"	"https://echa.europa.eu/documents/10162/80f86071-5648-67e8-1205-d5ee7fe174e1"	"https://echa.europa.eu/documents/10162/4e5631e4-8ff5-03ed-2eff-bf9aad5b846a"	"29-févr.-2012"	"REACH &amp; CLP Unit, 253 avenue du General Leclerc. 94700 Maisons-Alfort Cedex
"	"French Agency for Food, Environmental and Occupational Health &amp; Safety (Anses)"	""	""	""	"CMR""Potential endocrine disruptor""Exposure of environment""Exposure of workers""High (aggregated) tonnage"	""	"19-janv.-2016"	
"Ethylene oxide"	""	"200-849-9"	"75-21-8"	""	"2012"	"Austria"	"CMR""High (aggregated) tonnage"	"Concluded"	"25-mars-2020"	""	"https://echa.europa.eu/documents/10162/c230b212-fd06-30bc-9d19-aaa969e9f521""https://echa.europa.eu/documents/10162/4a2a31f6-aa6b-41f0-5f10-2e4eca6c6fe9"	""	"29-févr.-2012"	"Abteilung Chemikalien/Department Chemicals, Spittelauer Lände 5, 1090 Wien, Österreich/Austria 
"	"Umweltbundesamt GmbH "	""	""	""	"CMR""High (aggregated) tonnage"	""	"14-janv.-2016"	
"2-methylpropan-2-ol"	""	"200-889-7"	"75-65-0"	""	"2013"	"United Kingdom"	"Suspected CMR""Consumer use""High (aggregated) tonnage""High RCR""Wide dispersive use"	"Concluded"	"25-mars-2020"	"https://echa.europa.eu/documents/10162/eab22aa0-3ada-de85-1dd7-10d3fc95b0c8"	"https://echa.europa.eu/documents/10162/528c3841-87b8-d5c9-4269-d7cef27d815b"	"https://echa.europa.eu/documents/10162/c8877c25-241d-6ffe-b9fa-d8e0a2c96033"	"20-mars-2013"	"4N.G Redgrave Court, Merton Road, Bootle, Merseyside L20 7HS 
"	"UK REACH CA Health and Safety Executive"	""	""	""	"Suspected CMR""Consumer use""High (aggregated) tonnage""High RCR""Wide dispersive use"	""	"19-janv.-2016"	
"Dichloro(dimethyl)silane"	""	"200-901-0"	"75-78-5"	""	"2014"	"Czech Republic"	"Suspected PBT/vPvB""High (aggregated) tonnage"	"Concluded"	"25-mars-2020"	""	"https://echa.europa.eu/documents/10162/785b1c4e-fc34-c540-fbac-ab679a73bba5""https://echa.europa.eu/documents/10162/c6cdb3a3-db9d-2246-f338-ff8962074860"	"https://echa.europa.eu/documents/10162/3e635888-a993-8d7c-efaa-ebebbddca245"	"29-févr.-2012"	"Vršovická 65, 100 00 Praha 10, Czech Republic 
"	"Ministry of Environment of the Czech Republic"	""	""	""	"Suspected PBT/vPvB""High (aggregated) tonnage"	""	"19-janv.-2016"	
"3a,4,7,7a-tetrahydro-4,7-methanoindene"	""	"201-052-9"	"77-73-6"	""	"2016"	"France"	"Suspected Reprotoxic""Exposure of workers""High (aggregated) tonnage""High RCR"	"Concluded"	"31-mai-2022"	""	"https://echa.europa.eu/documents/10162/58674acd-35d8-0f5e-45f6-a98b6ee4fc8e"	"https://echa.europa.eu/documents/10162/6e2ee2bb-e029-95f5-94dc-0cb8f901c446"	"17-mars-2015"	"REACH &amp; CLP Unit, 253 avenue du General Leclerc. 94700 Maisons-Alfort Cedex
"	"French Agency for Food, Environmental and Occupational Health &amp; Safety (Anses)"	""	""	""	"Suspected Reprotoxic""Exposure of workers""High (aggregated) tonnage""High RCR"	""	"14-janv.-2016"	
"3,5,5-trimethylcyclohex-2-enone"	""	"201-126-0"	"78-59-1"	""	"2013"	"France"	"CMR""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	"Concluded"	"29-juin-2022"	"https://echa.europa.eu/documents/10162/3a72d0e7-805a-264b-05a7-8f327458444a"	"https://echa.europa.eu/documents/10162/30af3ffd-c913-b85a-b3c6-57c2cd58e913"	"https://echa.europa.eu/documents/10162/29f66738-475e-d5ca-2557-10ba8d3f6364"	"29-févr.-2012"	"REACH &amp; CLP Unit, 253 avenue du General Leclerc. 94700 Maisons-Alfort Cedex
"	"French Agency for Food, Environmental and Occupational Health &amp; Safety (Anses)"	""	""	""	"CMR""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	""	"19-janv.-2016"	
"Butanone"	""	"201-159-0"	"78-93-3"	""	"2018"	"Sweden"	"Suspected Reprotoxic""Potential endocrine disruptor""Consumer use""Exposure of environment""Exposure of workers""High (aggregated) tonnage""High RCR""Wide dispersive use"	"Information requested"	"24-juin-2020"	"https://echa.europa.eu/documents/10162/ddff9e8f-425c-ead1-1a19-3a88a16ee91d"	""	"https://echa.europa.eu/documents/10162/65ccf230-14e3-ff9a-84d8-1dcd2190a448"	"21-mars-2017"	"Esplanaden 3a, P.O Box 2, SE-172 13 Sundbyberg, Sweden "	"Swedish Chemicals Agency"	""	""	""	"Suspected Reprotoxic""Potential endocrine disruptor""Consumer use""Exposure of environment""Exposure of workers""High (aggregated) tonnage""High RCR""Wide dispersive use"	""	"21-mars-2017"	
"methacrylamide"	""	"201-202-3"	"79-39-0"	""	"2016"	"Sweden"	"Other hazard based concern""Exposure of workers"	"Concluded"	"28-nov.-2022"	"https://echa.europa.eu/documents/10162/71bbf2ea-27c9-06e3-7b75-0494192c9cbd"	"https://echa.europa.eu/documents/10162/5198a3bc-9afd-4f7f-8042-be5685c5c1ef"	"https://echa.europa.eu/documents/10162/056a545a-263a-2867-8ca8-6017524b198d"	"17-mars-2015"	"Esplanaden 3a, P.O Box 2, SE-172 13 Sundbyberg, Sweden
"	"Swedish Chemicals Agency"	""	""	""	"Other hazard based concern""Exposure of workers"	""	"14-janv.-2016"	
"2,5-di-tert-pentylhydroquinone"	""	"201-222-2"	"79-74-3"	""	"2014"	"Italy"	"Suspected PBT/vPvB""High RCR"	"Information requested"	"21-avr.-2023"	"https://echa.europa.eu/documents/10162/0085b5af-7973-e76f-588c-59a1c45c6210""https://echa.europa.eu/documents/10162/b1a3d8a7-f1f6-c1df-beae-0a0b8ccac1e6"	""	"https://echa.europa.eu/documents/10162/4bf40970-95aa-90e7-ee86-78c66f70a59b"	"20-mars-2013"	"299 Viale Regina Elena, 00161 ROME
"	"Institute of Health"	""	""	""	"Suspected PBT/vPvB""High RCR"	""	"14-janv.-2016"	
"2,2,6,6-tetrabromo-4,4-isopropylidenediphenol"	""	"201-236-9"	"79-94-7"	""	"2015"	"Denmark"	"Suspected Reprotoxic""Potential endocrine disruptor""Suspected PBT/vPvB""Consumer use""Exposure of environment""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	"Information requested"	"28-nov.-2022"	"https://echa.europa.eu/documents/10162/a9d981cb-a830-e246-65d3-76ff26e0e951""https://echa.europa.eu/documents/10162/58c274a8-8b03-1ffb-d3ef-588343dfd5a4"	""	"https://echa.europa.eu/documents/10162/8ac6a2d5-4749-14f2-e7e0-214d7b235ce3"	"17-mars-2015"	""	"Danish EPA, Chemicals Division"	""	""	""	"Suspected Reprotoxic""Potential endocrine disruptor""Suspected PBT/vPvB""Consumer use""Exposure of environment""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	""	"14-janv.-2016"	
"4,4'-isopropylidenedi-o-cresol"	""	"201-240-0"	"79-97-0"	""	"2021"	"Germany"	"Suspected Reprotoxic""Potential endocrine disruptor"	"Information requested"	"21-févr.-2023"	"https://echa.europa.eu/documents/10162/ca19fd65-e6ce-7089-1663-cf3741aeb225"	""	"https://echa.europa.eu/documents/10162/157ae4b5-f382-c436-0782-b8afd626261a"	"17-mars-2021"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund."	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	""	""	"Suspected Reprotoxic""Potential endocrine disruptor"	""	"17-mars-2021"	
"4,4'-isopropylidenediphenol"	"Bisphenol A; BPA"	"201-245-8"	"80-05-7"	""	"2012"	"Germany"	"Potential endocrine disruptor""Consumer use""High (aggregated) tonnage""Wide dispersive use"	"Concluded"	"25-mars-2020"	"https://echa.europa.eu/documents/10162/8bb649b0-de61-08ac-a6e0-d8f803df1317"	"https://echa.europa.eu/documents/10162/3cd2972c-7758-1cff-929f-ca35f9dae511""https://echa.europa.eu/documents/10162/2e8ac666-fae6-2e54-f0eb-ef4a5da819ed"	""	"29-févr.-2012"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund"	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	""	""	"Potential endocrine disruptor""Consumer use""High (aggregated) tonnage""Wide dispersive use"	""	"14-janv.-2016"	
"bis(4-chlorophenyl) sulphone"	""	"201-247-9"	"80-07-9"	""	"2019"	"Austria"	"Suspected PBT/vPvB""High (aggregated) tonnage""Wide dispersive use"	"Concluded"	"10-déc.-2020"	""	"https://echa.europa.eu/documents/10162/c63c93be-c901-864f-1d5a-9e21a35c81f8"	"https://echa.europa.eu/documents/10162/ae4182bc-75e3-7a86-e32e-15f2660f75b1"	"20-mars-2013"	"Spittelauer Lände 5, 1090 Wien, Österreich/Austria 
"	"Umweltbundesamt GmbH, Abteilung Chemikalien/Department Chemicals"	""	""	""	"Suspected PBT/vPvB""High (aggregated) tonnage""Wide dispersive use"	""	"14-janv.-2016"	
