Name and abbreviation,CAS no.,EC / List no.,Health Effects,Environmental Effects,Status,Regulatory Field
Isopentyl p-methoxycinnamate,71617-10-2,275-702-5,,Yes,CoRAP list year: 2016,REACH
Mepanipyrim,110235-47-7,432-140-7,Yes,Yes,,Pesticides
Methylparaben,99-76-3,202-785-7,Yes,,"CoRAP list year: 2014
Commission EDC list year*: 2019","REACH, Cosmetics"
Metiram,9006-42-2,618-430-8,Yes,,,Pesticides
Metribuzin,21087-64-9,244-209-7,Yes,,,Pesticides
Oligomerisation and alkylation reaction products of 2-phenylpropene and phenol,68512-30-1,270-966-8,,Yes,CoRAP list year: 2012,REACH
Oxybenzone (BP-3),131-57-7,205-031-5,Yes,Yes,CoRAP list year: 2014,REACH
"Phenol, isopropylated, phosphate (3:1)",68937-41-7,273-066-3,Yes,Yes,CoRAP list year: 2020,REACH
"phenol, styrenated,reaction mass of 2,4,6-tris(1-phenyl-ethyl)phenol and Bis(1-phenylethyl) phenol",61788-44-1,262-975-0,,Yes,CoRAP list year: 2014,REACH
Propiconazole,60207-90-1,262-104-4,Yes,,,Biocides
Propyl 4-hydroxybenzoate; Propylparaben,94-13-3,202-307-7,Yes,Yes,CoRAP list year: 2015,"REACH, Cosmetics"
"reaction mass of 1-(1,2,3,4,5,6,7,8-octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one and 1-(1,2,3,4,6,7,8,8a-octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one and 1-(1,2,3,5,6,7,8,8a-octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one",-,915-730-3,Yes,Yes,CoRAP list year: 2017,REACH
Reaction mass of p-t-butylphenyldiphenyl phosphate and bis(p-t-butylphenyl) phenyl phosphate,,939-505-4,Yes,Yes,CoRAP list year: 2023,REACH
Reaction products of phosphoryl trichloride and 2-methyloxirane,1244733-77-4,807-935-0,Yes,,CoRAP list year: 2022,REACH
Resorcinol,108-46-3,203-585-2,Yes,,CoRAP list year: 2019,REACH
Thiabendazole,148-79-8,205-725-8,Yes,,,Pesticides
Triclosan,3380-34-5,222-182-2,Yes,,CoRAP list year: 2012,"REACH, Cosmetics"
Triflusulfuron-methyl,126535-15-7,603-146-9,Yes,Yes,,Pesticides
Triphenyl phosphate (TPP),115-86-6,204-112-2,Yes,Yes,"CoRAP list year: 2017
Commission EDC list year*: 2019","REACH, Cosmetics"
Tris[2-chloro-1-(chloromethyl)ethyl] phosphate,13674-87-8,237-159-2,,Yes,CoRAP list year: 2024,REACH
Ziram,137-30-4,205-288-3,Yes,,CoRAP list year: 2012,REACH
