Nom,Synonyme(s),Numero CAS,Numero EINECS,Numero Index,ATP,TMP,Colorant(Numero CI),Cancerigene (Categorie),Cancerigene (Mention de danger),Mutagene (Categorie),Mutagene (Mention de danger),Toxique repro. (Categorie),Toxique repro. (Mention de danger),Note(s),Commentaire(s)
"[5-[[4'-[[2,6-dihydroxy-3-[(2-hydroxy-5-sulfophényl)azo]phényl]azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]salicylato(4-)]cuprate(2-) de disodium",,66225-65-8,266-264-6,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
[carbonato(2-)]tétrahydroxytrinickel,,12607-70-4,,028-010-00-0,1ère,,,C1A,H350i,M2,,R1B,H360D,,
"1-(2,4-dichlorophényl)-5-(trichlorométhyl)-1H-1,2,4-triazol-3-carboxylate d'éthyle",,103112-35-2,,607-626-00-9,1ère,,,C1B,,,,,,,
"1-(4-chlorophényl)-4,4-diméthyl-3-(1,2,4-triazol-1-ylméthyl)pentan-3-ol",tébuconazole(ISO),107534-96-3,,603-197-00-7,7ème,,,,,,,R2,H361d,,
"1,1,2-trichloroéthane",,79-00-5,,602-014-00-8,,,,C2,,,,,,,
"1,1-dichloroéthylène",chlorure de vinylidène,75-35-4,,602-025-00-8,,,,C2,,,,,,,
"1,2,3,4,5,6-hexachlorocyclohexanes à l'exception de ceux nommément désignés dans cette liste",,,,602-042-00-0,,,,C2,,,,,,,
"1,2,3-benzènetriol",pyrogallol,87-66-1,,604-009-00-6,,,,,,M2,,,,,
"1,2,3-trichloropropane",,96-18-4,,602-062-00-X,,,,C1B,,,,R1B,H360F,,
"1,2,4-triazole",,288-88-0,,613-111-00-X,17ème,,,,,,,R1B,H360FD,,"Dans la 17ème ATP, passage de la classification R2 à R1B"
"1,2,5,6,9,10-hexabromocyclododécane",,3194-55-6,,602-109-00-4,3ème,,,,,,,R2,H361,,
"1,2-bis(2-méthoxyéthoxy)éthane","éther méthylique du triéthylène-glycol , TEGDME , triglyme",112-49-2,,603-176-00-2,,,,,,,,R1B,H360Df,,
"1,2-dibromo-3-chloropropane",,96-12-8,,602-021-00-6,,,,C1B,,M1B,,R1A,H360F,,
"1,2-dibromoéthane",,106-93-4,,602-010-00-6,,,,C1B,,,,,,,
"1,2-dichloroéthane",chlorure d'éthylène,107-06-2,,602-012-00-7,,,,C1B,,,,,,,
"1,2-dichloropropane",,78-87-5,,602-020-00-0,9ème,,,C1B,,,,,,,
"1,2-diéthoxyéthane",,629-14-1,,603-208-00-5,1ère,,,,,,,R1A,H360Df,,
"1,2-diméthoxyéthane","EGDME , éther diméthylique d'éthylène-glycol",110-71-4,,603-031-00-3,,,,,,,,R1B,H360FD,,
"1,2-diméthylhydrazine",,540-73-8,,007-013-00-0,,,,C1B,,,,,,,
"1,2-époxy-3-phénoxypropane",oxyde de glycidyle et de phényle,122-60-1,,603-067-00-X,,,,C1B,,M2,,,,,
"1,2-époxy-4-époxyéthylcyclohexane","diépoxyde de 4-vinylcyclohexène , 7-oxa-3-oxiranylbicyclo[4.1.0]heptane",106-87-6,,603-066-00-4,17ème,,,C1B,,M2,,R1B,H360F,,"Dans la 17ème ATP, passage de la classification C2 à C1B et ajout des classifications M2 et R1B"
"1,2-époxybutane",,106-88-7,,603-102-00-9,7ème,,,C2,,,,,,,
"1,3,5-triazine-2,4,6-triamine",mélamine,108-78-1,,613-345-00-2,18ème,,,C2,,,,,,,
"1,3,5-trioxanne",trioxyméthylène,110-88-3,,605-002-00-0,,,,,,,,R2,H361d,,
"1,3,5-tris(oxirannylméthyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione",TGIC,2451-62-9,,615-021-00-6,,,,,,M1B,,,,,
"1,3,5-tris[(2S et 2R)-2,3-époxypropyl]-1,3,5-triazine-2,4,6-(1H,3H,5H)-trione",,59653-74-6,,616-091-00-0,,,,,,M1B,,,,,
"1,3-benzènediol, 5,5'-[(5-hydroxy-1-phénylène)bis(oxy)]bis-, couplé avec la 3,3'-diméthoxy[1,1'-biphényl]-4,4'-diamine diazotée, sel de sodium",,98072-75-4,308-531-2,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"1,3-benzènediol, 5,5'-[oxybis[(5-hydroxy-3,1-phénylène)oxy]]bis-, couplé avec la 3,3'-diméthoxy[1,1'-biphényl]-4,4'-diamine diazotée, sel de sodium",,98072-77-6,308-533-3,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"1,3-benzènediol, 5,5'-oxybis-, couplé avec la 3,3'-diméthoxy[1,1'-biphényl]4,4'-diamine diazotée, sel de sodium",,98072-76-5,308-532-8,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"1,3-bis(vinylsulfonylacétamido)propane",,93629-90-4,,616-142-00-7,,,,,,M2,,,,,
"1,3-butadiène",,106-99-0,,601-013-00-X,,,,C1A,,M1B,,,,,
"1,3-dichloro-2-propanol",,96-23-1,,602-064-00-0,,,,C1B,,,,,,,
"1,3-diphénylguanidine",,102-06-7,,612-149-00-4,,,,,,,,R2,H361f,,
"1,3-propanesultone",,1120-71-4,,016-032-00-3,,,,C1B,,,,,,,
"1,4-dichlorobenzène",p-dichlorobenzène,106-46-7,,602-035-00-2,,,,C2,,,,,,,
"1,4-dichlorobut-2-ène",,764-41-0,,602-073-00-X,,,,C1B,,,,,,,
"1,4-dioxane",,123-91-1,,603-024-00-5,17ème,,,C1B,,,,,,,"Dans la 17ème ATP, passage de la classification C2 à C1B"
"1,5-naphtylènediamine",,2243-62-1,,612-089-00-9,,,,C2,,,,,,,
"10-éthyl-4,4-diméthyl-7-oxo-8-oxa-3,5-dithia-4-stannatétradecanoate de 2-éthylhexyle",,57583-35-4,,050-028-00-2,6ème,,,,,,,R2,H361d,,
"10-éthyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatétradécanoate de 2-éthylhexyle",[DOTE],15571-58-1,,050-027-00-7,15ème,,,,,,,R1B,H360D,,
"10-éthyl-4-[[2-[(2-éthylhexyl)oxy]-2-oxoéthyl]thio]-4-méthyl-7-oxo-8-oxa-3,5-dithia-4-stannatétradecanoate de 2-éthylhexyle",,57583-34-3,,050-026-00-1,5ème,,,,,,,R2,H361d,,
"1-allyloxy-2,3-époxypropane","oxyde d'allyle et de 2,3-époxypropane , oxyde d'allyle et de glycidyle",106-92-3,,603-038-00-1,,,,C2,,M2,,R2,H361f,,
"1-bromo-3,4,5-trifluorobenzène",,138526-69-9,,602-092-00-3,,,,C2,,,,,,,
1-bromopropane,bromure de n-propyle,106-94-5,,602-019-00-5,,,,,,,,R1B,H360FD,,
"1-butoxy-2,3-époxypropane",oxyde de n-butyle et de glucidyle,2426-08-6,,603-039-00-7,,,,C2,,M2,,,,,
"1-chloro-2,3-époxypropane",épichlorhydrine,106-89-8,,603-026-00-6,,,,C1B,,,,,,,
1-chloro-4-nitrobenzène,,100-00-5,,610-005-00-5,,,,C2,,M2,,,,,
"1-hydroxy-2-(4-(4-carboxyphénylazo)-2,5-diméthoxyphénylazo)-7-amino-3-naphtalène sulfonate de diammonium",,,,607-504-00-5,1ère corr,,,,,,,R2,H361f,,
"1-méthyl-3-morpholinocarbonyl-4-[3-(1-méthyl-3-morpholinocarbonyl-5-oxo-2-pyrazolin-4-ylidèno)-1-propényl]pyrazol-5-olate de potassium [contenant ≥ 0.5 % de N,N-diméthylformamide (CE N° 200-679-5)]",,183196-57-8,,613-286-01-X,1ère,,,,,,,R1B,H360D,,
1-méthyl-3-nitro-1-nitrosoguanidine,,70-25-7,,612-083-00-6,1ère,85,,C1B,,,,,,,
1-vinyl-2-pyrrolidone,,88-12-0,,613-168-00-0,,,,C2,,,,,,,
1-vinylimidazole,,1072-63-5,,613-328-00-X,12ème,,,,,,,R1B,H360D,,
2-(2-aminoéthylamino)éthanol,AEEA,111-41-1,,603-194-00-0,1ère corr,,,,,,,R1B,H360Df,,
"2-(2-hydroxy-3,5-dinitroanilino)éthanol",,99610-72-7,,604-056-00-2,,,,,,,,R2,H361f,,
2-(2-méthoxyéthoxy)éthanol,éther monométhylique du diéthylène glycol,111-77-3,,603-107-00-6,18ème,,,,,,,R1B,H360D,,"Dans la 18ème ATP, passage de la classification R2 à R1B"
2-(4-tert-butylbenzyl)propionaldéhyde,,80-54-6,,605-041-00-3,15ème,,,,,,,R1B,H360Fd,,
2-(4-tert-butylphényl)éthanol,,5406-86-0,,603-152-00-1,,,,,,,,R2,H361f,,
2-(isocyanatosulfonylméthyl)benzoate de méthyle,,83056-32-0,,615-023-00-7,,,,,,M2,,,,,
"2,2'-((3,3',5,5'-tétraméthyl-(1,1'-biphényl)-4,4'-diyl)bis(oxyméthylène))bis-oxiranne",,85954-11-6,,604-055-00-7,1ère,,,C2,,,,,,,
"2,2'-(nitrosoimino)biséthanol",,1116-54-7,,612-090-00-4,,,,C1B,,,,,,,
"2,2',2'',2''',2''''-(éthane-1,2-diylnitrilo)pentaacétate de pentapotassium",,7216-95-7,,607-734-00-6,18ème,,,,,,,R1B,H360D,,
"2,2'-[(3,3'-diméthyl[1,1'-biphényl]-4,4'-diyl)bis(azo)]bis[4-nonylphénol]",,67990-27-6,268-048-7,611-030-00-4,,,21140,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"2,2'-[[1,1'-biphényl]-4,4'-diylbis(azo)]bis[N-(4-chlorophényl)-3-oxobutyramide]",,94249-03-3,304-380-1,611-024-00-1,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"2,2'-bioxiranne","1,2,3,4-diépoxybutane",1464-53-5,,603-060-00-1,,,,C1B,,M1B,,,,,
"2,2-bis(bromométhyl)propane-1,3-diol",,3296-90-0,,603-240-00-X,15ème,,,C1B,,M1B,,,,,
"2,2-dibromo-2-nitroéthanol",,69094-18-4,,609-056-00-6,,,,C2,,,,,,,
"2,2'-dichloro-4,4'-méthylènedianiline","4,4'-méthylènebis(2-chloroaniline)",101-14-4,,612-078-00-9,,15 TER,,C1B,,,,,,,
"2,3,4-trichlorobut-1-ène",,2431-50-7,,602-076-00-6,1ère,,,C2,,,,,,,
"2,3-dibromopropan-1-ol","2,3-dibromo-1-propanol",96-13-9,,602-088-00-1,,,,C1B,,,,R2,H361f,,
"2,3-dichloropropène",,78-88-6,,602-079-00-2,,,,,,M2,,,,,
"2,3-dinitrotoluène",,602-01-7,,609-050-00-3,,,,C1B,,M2,,R2,H361f,,
"2,3-époxypropan-1-ol",glycidol,556-52-5,,603-063-00-8,,,,C1B,,M2,,R1B,H360F,,
"2,4,5-triméthylaniline",,137-17-7,,612-197-00-6,,,,C1B,,,,,,,
"2,4,6-trichlorophénol",,88-06-2,,604-018-00-5,,,,C2,,,,,,,
"2,4,6-trinitrorésorcinate de plomb","tricinate , 2,4,6-trinitro-m-phénylate de plomb",15245-44-0,,609-019-00-4,,,,,,,,R1A,H360Df,,
"2,4,6-trinitrorésorcinate de plomb (≥ 20% de flegmatisant)","tricinate (≥ 20% de flegmatisant) , 2,4,6-trinitro-m-phénylate de plomb (≥ 20% de flegmatisant)",15245-44-0,,609-019-01-1,,,,,,,,R1A,H360Df,,
"2,4,6-tri-tert-butylphénol",,732-26-3,,604-097-00-6,18ème,,,,,,,R1B,H360D,,
"2,4-diaminoanisole",4-méthoxy-m-phénylènediamine,615-05-4,,612-200-00-0,,,,C1B,,M2,,,,,
"2,4-dibromobutanoate de benzyle",,23085-60-1,,607-376-00-0,,,,,,,,R2,H361f,,
"2,4-dinitrotoluène",,121-14-2,,609-007-00-9,1ère,,,C1B,,M2,,R2,H361f,,
"2,5-dinitrotoluène",,619-15-8,,609-055-00-0,,,,C1B,,M2,,R2,H361f,,
"2,6-dinitrotoluène",,606-20-2,,609-049-00-8,,,,C1B,,M2,,R2,H361f,,
"2,6-xylidine","2,6-diméthylaniline",87-62-7,,612-161-00-X,,,,C2,,,,,,,
"2-[[2-amino-5-hydroxy-6-[[4'-[(2-hydroxy-6-sulfonato-1-naphtyl)azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]-7-sulfonato-1-naphtyl]azo]-5-nitrobenzoate de trisodium",,71566-41-1,275-635-1,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"2-[[2-amino-6-[[4'-[(3-carboxy-4-hydroxyphényl)azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]-5-hydroxy-7-sulfo-1-naphtyl]azo]-5-nitrobenzoate de sodium",,93964-42-2,300-889-8,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"2-[[2-amino-6-[[4'-[(3-carboxylato-4-hydroxyphényl)azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]-5-hydroxy-7-sulfonato-1-naphtyl]azo]-5-nitrobenzoate de trisodium",,6739-62-4,229-801-5,611-029-00-9,,,30400,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
2-[2-hydroxy-3-(2-chlorophényl)carbamoyl-1-naphtylazo]-7-[2-hydroxy-3-(3-méthylphényl)carbamoyl-1-naphtylazo]fluorén-9-one,,151798-26-4,,611-131-00-3,,,,,,,,R1B,H360D,,
2-aminophénol,,95-55-6,,612-033-00-3,,,,,,M2,,,,,
2-benzyl-2-diméthylamino-4'-morpholinobutyrophénone,,119313-12-1,,606-047-00-9,14ème,,,,,,,R1B,H360D,,
2-bromopropane,,75-26-3,,602-085-00-5,,,,,,,,R1A,H360F,,
2-butyryl-3-hydroxy-5-thiocyclohexane-3-yl-cyclohex-2-ène-1-one,,94723-86-1,,606-100-00-6,1ère,,,,,,,R1B,H360F,,
2-chloro-6-fluorophénol,2-chloro-6-fluoro-phénol,2040-90-6,,604-082-00-4,1ère,,,,,M1B,,R2,H361f,,
2-chloroacétamide,,79-07-2,,616-036-00-0,,,,,,,,R2,H361f,,
"2-dodécylphénol, ramifié",,,,604-092-00-9,9ème,,,,,,,R1B,H360F,,
2-éthoxyéthanol,"éther monoéthylique d'éthylène-glycol , éthylglycol",110-80-5,,603-012-00-X,3ème,,,,,,,R1B,H360FD,,
2-éthylhexanaote de 2-éthylhexyle,,7425-14-1,,607-622-00-7,1ère,,,,,,,R2,H361d,,
2-furaldéhyde,,98-01-1,,605-010-00-4,1ère,,,C2,,,,,,,
2-méthoxyaniline,o-anisidine,90-04-0,,612-035-00-4,,,,C1B,,M2,,,,,
2-méthoxyéthanol,"éther monométhylique d'éthylène-glycol , méthylglycol",109-86-4,,603-011-00-4,,,,,,,,R1B ,H360FD,,
2-méthoxypropanol,,1589-47-5,,603-106-00-0,,,,,,,,R1B,H360D,,
2-méthyl-1-(4-méthylthiophényl)-2-morpholinopropan-1-one,,71868-10-5,,606-041-00-6,10ème,,,,,,,R1B,H360FD,,
2-méthyl-5-tert-butylthiophénol,,,,604-089-00-2,1ère,,,,,,,R2,H361d,,
2-méthylaziridine,propylènimine,75-55-8,,613-033-00-6,,,,C1B,,,,,,,
2-méthylimidazole,,693-98-1,,613-330-00-0,14ème,,,,,,,R1B,H360Df,,
2-méthyl-m-phénylènediamine,"toluène-2,6-diamine",823-40-5,,612-111-00-7,,,,,,M2,,,,,
2-naphtylamine,,91-59-8,,612-022-00-3,,15 TER,,C1A,,,,,,,
2-nitroanisole,,91-23-6,,609-047-00-7,,,,C1B,,,,,,,
2-nitronaphtalène,,581-89-5,,609-038-00-8,,,,C1B,,,,,,,
2-nitropropane,,79-46-9,,609-002-00-1,,,,C1B,,,,,,,
2-nitrotoluène,,88-72-2,,609-065-00-5,,,,C1B,,M1B,,R2,H361f,,
"3-(1,2-éthanediylacétal)-estra-5(10),9(11)-diène-3,17-dione, cyclique",,5571-36-8,,606-131-00-5,1ère,,,,,,,R1B,H360F,,
"3,3'-((3,3'-diméthyl(1,1'-biphényl)-4,4'-diyl)bis(azo)bis(4-aminonaphtalène-1-sulfonate) de disodium",,992-59-6,213-594-3,611-030-00-4,,,23500,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"3,3'-[(3,3'-diméthoxy[1,1'-biphényl]-4,4'-diyl)bis(azo)]bis(4-aminonaphtalène-1-sulfonate) de disodium",,2868-75-9,220-691-4,611-029-00-9,,,24100,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"3,3'-[(3,3'-diméthoxy[1,1'-biphényl]-4,4'-diyl)bis(azo)]bis(4-hydroxynaphtalène-1-sulfonate) de disodium",,2429-71-2,219-382-7,611-029-00-9,,,24140,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"3,3'-[(3,3'-diméthoxy[1,1'-biphényl]-4,4'-diyl)bis(azo)]bis[4,5-dihydroxynaphtalène-2,7-disulfonate] de tétrasodium",,4198-19-0,224-091-3,611-029-00-9,,,24340,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"3,3'-[(3,3'-diméthoxy[1,1'-biphényl]-4,4'-diyl)bis(azo)]bis[5-(acétylamino)-4-hydroxynaphtalène-2,7-disulfonate] de tétrasodium",,67906-44-9,267-711-8,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"3,3'-[(3,3'-diméthoxy[1,1'-biphényl]-4,4'-diyl)bis(azo)]bis[5-amino-4-hydroxynaphtalène-2,7-disulfonate] de tétralithium",,71550-22-6,275-603-7,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"3,3'-[(3,3'-diméthoxy[1,1'-biphényl]-4,4'-diyl)bis(azo)]bis[5-amino-4-hydroxynaphtalène-2,7-disulfonate] de tétrasodium",,2429-74-5,219-385-3,611-029-00-9,,,24400,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"3,3'-[(3,3'-diméthyl[1,1'-biphényl]-4,4'-diyl)bis(azo)]bis[2,4-diamino-5-méthylbenzènesulfonate] de disodium",,6405-94-3,229-024-1,611-030-00-4,,,23370,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"3,3'-[(3,3'-diméthyl[1,1'-biphényl]-4,4'-diyl)bis(azo)]bis[4,5-dihydroxynaphtalène-2,7-disulfonate] de tétrasodium",,2150-54-1,218-432-5,611-030-00-4,,,23790,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"3,3'-[(3,3'-diméthyl[1,1'-biphényl]-4,4'-diyl)bis(azo)]bis[5-amino-4-hydroxynaphtalène-2,7-disulfonate] de tétrasodium",,72-57-1,200-786-7,611-030-00-4,,,23850,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"3,3'-dichlorobenzidine",,91-94-1,,612-068-00-4,,,,C1B,,,,,,,
"3,3'-diméthoxybenzidine",o-dianisidine,119-90-4,,612-036-00-X,,15 TER,,C1B,,,,,,,
"3,4-dinitrotoluène",,610-39-9,,609-051-00-9,,,,C1B,,M2,,R2,H361f,,
"3,5,5-triméthylcyclohex-2-énone",isophorone,78-59-1,,606-012-00-8,,,,C2,,,,,,,
"3,5-bis(tert-butyl)-4-hydroxybenzoate de nickel (1:2)",,52625-25-9,,028-054-00-0,1ère,,,C1A,H350i,M2,,R1B,H360D,,
"3,5-dinitro-2,6-diméthyl-4-tert-butylacétophénone","4'-tert-butyl-2',6'-diméthyl-3',5'-dinitroacétophénone , musc cétone",81-14-1,,609-069-00-7,1ère,,,C2,,,,,,,
"3,5-dinitrotoluène",,618-85-9,,609-052-00-4,,,,C1B,,M2,,R2,H361f,,
"3,7-diméthylocta-2,6- diènenitrile",,5146-66-7,,608-067-00-3,9ème,,,,,M1B,,,,,
"3-[[3,3'-diméthyl-4'-[[4-[[(para-tolyl)sulfonyl]oxy]phényl]azo][1,1'-biphényl]-4-yl]azo]-4-hydroxy-5-[[(para-tolyl)sulfonyl]oxy]naphtalène-2,7-disulfonate de disodium",,68345-21-1,269-849-4,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"3-[[4'-[(6-amino-1-hydroxy-3-sulfonato-2-naphtyl)azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]-4-hydroxynaphtalène-1-sulfonate de disodium",,6449-35-0,229-250-0,611-029-00-9,,,24175,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"3-[[4'-[(6-amino-1-hydroxy-3-sulfonato-2-naphtyl)azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]-4-hydroxynaphtalène-1-sulfonate de disodium",,2429-72-3,219-383-2,611-030-00-4,,,23705,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"3-[[4'-[[6-amino-1-hydroxy-3-sulfonato-2-naphtyl]azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]-4-hydroxynaphtalène-1-sulfonate de disodium",,3818-60-8,223-308-9,611-029-00-9,,,24185,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"3-amino-4-[[4'-[[4-[[(para-tolyl)sulfonyl]oxy]phényl]azo][1,1'-biphényl]-4-yl]azo]naphtalène-2,7-disulfonate de disodium",,2429-80-3,219-389-5,611-024-00-1,,,22195,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
3-amino-9-éthylcarbazole,9-éthylcarbazol-3-ylamine,132-32-1,,612-280-00-7,1ère,,,C1B,,,,,,,
"3-benzamido-4-hydroxy-5-[[1-[[4'-[[2-[[2-hydroxy-5-(méthylsulfonyl)phényl]azo]-1,3-dioxobutyl]amino]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]carbamoyl]-2-oxopropyl]azo]benzènesulfonate de sodium",,70210-32-1,274-428-3,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"3-bromo-2,2-bis(bromométhyle)-1-propanol",,1522-92-5,,603-243-00-6,18ème,,,C1B,,M2,,,,,
3-chloro-4-(3-fluorobenzyloxy)aniline,,202197-26-0,,612-266-00-0,1ère,,,,,M2,,,,,
3-chloropropène,chlorure d'allyle,107-05-1,,602-029-00-X,,,,C2,,M2,,,,,
"3-dodécylphénol, ramifié",,,,604-092-00-9,9ème,,,,,,,R1B,H360F,,
"3-éthyl-2-méthyl-2-(3-méthylbutyl)-1,3-oxazolidine",,143860-04-2,,613-191-00-6,,,,,,,,R1B,H360F,,
3-méthylpyrazole,,1453-58-3,,613-339-00-X,17ème,,,,,,,R1B,H360D,,
3-propanolide,"1,3-propiolactone",57-57-8,,606-031-00-1,,,,C1B,,,,,,,
