Registry of SVHC intentions until outcome
Note: Group entries are split in different rows.
Export date: 15-mai-2024 09:15:19
Last updated 05-mars-2024. Database contains 262 unique substances/entries.

"Substance Identifier"	""	
"Expected date of submission (from)"	""	
"Expected date of submission (to)"	""	
"Withdrawal date (from)"	""	
"Withdrawal date (to)"	""	
"Submitter"	""	
"Status"	""	
"Scope (operator is and)"	"true"	
"Scopes"
"Date of intention (from)"	""	
"Date of intention (to)"	""	
"Date of MSC opinion (from)"	""	
"Date of MSC opinion (to)"	""	
"Date of MSC agreement (from)"	""	
"Date of MSC agreement (to)"	""	
"Date of inclusion in Candidate List (from)"	""	
"Date of inclusion in Candidate List (to)"	""	



"Substance name"	"Description"	"EC / List no"	"CAS no"	"Further substance information"	"CLP Annex VI index number"	"Status"	"Date of intention"	"Expected date of submission"	"Submitted for accordance check"	"Withdrawal date"	"Submitter"	"Remarks"	"Scope"	"Start of consultation"	"End of consultation"	"Consultation document"	"RCOM (Comments received)"	"Year of MSC agreement"	"MSC Agreement"	"Date of MSC agreement"	"Support documents"	"MSC Opinion"	"Date of MSC opinion"	"Minority position"	"Date of inclusion in Candidate List"	"Latest update"	"First published"	
"Dibutyl phthalate"	""	"201-557-4"	"84-74-2"	""	"607-318-00-4"	"Identified SVHC"	"17-juil.-2023"	"03-août-2023"	""	""	"Netherlands"	""	"Endocrine disrupting properties (Article 57(f) - environment)"	"01-sept.-2023"	"16-oct.-2023"	"https://echa.europa.eu/documents/10162/29f85c0b-f5b5-a4ef-cfbf-74c6d5ce92cc"	"https://echa.europa.eu/documents/10162/1caa1aa8-7868-2d2c-db9e-b9ed5dea08ed"	"2023"	"https://echa.europa.eu/documents/10162/1fb3ba1c-9de9-5dba-2fd0-219f67cbc727"	"29-nov.-2023"	"https://echa.europa.eu/documents/10162/85a2672e-765c-ab11-1746-ae52ba38d9bc"	""	""	""	""	"20-déc.-2023"	"19-juil.-2023"	
"Bumetrizole"	""	"223-445-4"	"3896-11-5"	""	""	"Identified SVHC"	"07-mars-2023"	"03-août-2023"	""	""	"Germany"	""	"vPvB (Article 57e)"	"01-sept.-2023"	"16-oct.-2023"	"https://echa.europa.eu/documents/10162/6c3c9198-40b0-1f58-2664-2c8be40e1589"	"https://echa.europa.eu/documents/10162/1a21c69e-89e4-95da-9316-59a7cb94319f"	"2023"	"https://echa.europa.eu/documents/10162/636a091a-5877-d661-2687-4ae73512d3c3"	"13-déc.-2023"	"https://echa.europa.eu/documents/10162/3c9beffb-d462-4d85-d236-48d6aaf90c82"	""	""	""	"23-janv.-2024"	"01-mars-2024"	"16-mars-2023"	
"2-(dimethylamino)-2-[(4-methylphenyl)methyl]-1-[4-(morpholin-4-yl)phenyl]butan-1-one"	""	"438-340-0"	"119344-86-4"	""	""	"Identified SVHC"	"05-juin-2023"	"03-août-2023"	""	""	"Austria"	""	"Toxic for reproduction (Article 57c)"	"01-sept.-2023"	"16-oct.-2023"	"https://echa.europa.eu/documents/10162/f7cc2c53-1943-0383-a044-4afff73c80f3"	"https://echa.europa.eu/documents/10162/9e962e61-ebbb-ffb3-da1f-56fb2fe7c2c3"	""	""	""	"https://echa.europa.eu/documents/10162/42c7ac62-081c-a0bf-d210-3a63bf99688c"	""	""	""	"23-janv.-2024"	"01-mars-2024"	"12-juin-2023"	
"2-(2H-benzotriazol-2-yl)-4-(1,1,3,3-tetramethylbutyl)phenol"	""	"221-573-5"	"3147-75-9"	""	""	"Identified SVHC"	"07-mars-2023"	"03-août-2023"	""	""	"Germany"	""	"vPvB (Article 57e)"	"01-sept.-2023"	"16-oct.-2023"	"https://echa.europa.eu/documents/10162/7f2bb100-4ffe-accd-0315-db55e213810f"	"https://echa.europa.eu/documents/10162/e37e77d4-0dbd-35d4-bcd3-46ba29cb8c10"	"2023"	"https://echa.europa.eu/documents/10162/8cc113c1-dc24-6086-d184-40b32179e78c"	"13-déc.-2023"	"https://echa.europa.eu/documents/10162/0748353a-d4a5-c781-74c2-92ad81fcfde9"	""	""	""	"23-janv.-2024"	"01-mars-2024"	"16-mars-2023"	
"2,4,6-tri-tert-butylphenol"	""	"211-989-5"	"732-26-3"	""	"604-097-00-6"	"Identified SVHC"	"12-juin-2023"	"03-août-2023"	""	""	"Belgium"	""	"Toxic for reproduction (Article 57c)""PBT (Article 57d)"	"01-sept.-2023"	"16-oct.-2023"	"https://echa.europa.eu/documents/10162/35ed2bf8-256d-f505-ee8d-a4dbb72ef92a"	"https://echa.europa.eu/documents/10162/02d0b151-a462-7d90-ed58-3a54cf9e0368"	"2023"	"https://echa.europa.eu/documents/10162/ac266db7-cbfc-1128-a2cf-03ea46bfec37"	"29-nov.-2023"	"https://echa.europa.eu/documents/10162/52946a62-63f3-e9d7-63ec-70a33de360b1"	""	""	""	"23-janv.-2024"	"01-mars-2024"	"16-juin-2023"	
"Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide"	""	"278-355-8"	"75980-60-8"	""	"015-203-00-X"	"Identified SVHC"	"21-déc.-2022"	"19-janv.-2023"	""	""	"Sweden"	""	"Toxic for reproduction (Article 57c)"	"17-févr.-2023"	"03-avr.-2023"	"https://echa.europa.eu/documents/10162/8ff96b64-ba5e-5801-91d3-805584a182b1"	"https://echa.europa.eu/documents/10162/59555ce8-b7eb-d8c1-ddce-4e58e1fe744a"	""	""	""	"https://echa.europa.eu/documents/10162/6e90849b-d7c9-7b6c-edd4-0b4b79153b23"	""	""	""	"14-juin-2023"	"06-juil.-2023"	"10-janv.-2023"	
"Bis(4-chlorophenyl) sulphone"	""	"201-247-9"	"80-07-9"	""	""	"Identified SVHC"	"03-nov.-2022"	"19-janv.-2023"	""	""	"Austria"	""	"vPvB (Article 57e)"	"17-févr.-2023"	"03-avr.-2023"	"https://echa.europa.eu/documents/10162/ea6952df-34db-b644-a547-55b17c08cc7d"	"https://echa.europa.eu/documents/10162/b2dfcb12-d4c0-6d4d-dfc8-6874e6056cf0"	"2023"	"https://echa.europa.eu/documents/10162/9f6665d6-524e-69c1-4025-4efabbc941ff"	"12-mai-2023"	"https://echa.europa.eu/documents/10162/afb5a5c3-31d3-cc00-fc64-0048c380c601"	""	""	""	"14-juin-2023"	"19-juin-2023"	"30-nov.-2022"	
"reaction mass of 2,2,3,3,5,5,6,6-octafluoro-4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)morpholine and 2,2,3,3,5,5,6,6-octafluoro-4-(heptafluoropropyl)morpholine"	""	"473-390-7"	"-"	""	""	"Identified SVHC"	"25-mars-2022"	"04-août-2022"	""	""	"Belgium"	""	"vPvB (Article 57e)"	"02-sept.-2022"	"17-oct.-2022"	"https://echa.europa.eu/documents/10162/7a400e8e-0a49-445c-aff3-8299eb5e6b02"	"https://echa.europa.eu/documents/10162/c10afa53-2683-cc5b-1944-a631a3014926"	"2022"	"https://echa.europa.eu/documents/10162/1b24b5b0-4232-044c-62a0-8116448a4cbc"	"28-nov.-2022"	"https://echa.europa.eu/documents/10162/91ea9d72-6a36-91fe-bd98-f5ba5331011f"	""	""	""	"17-janv.-2023"	"18-janv.-2023"	"28-avr.-2022"	
"Perfluoroheptanoic acid and its salts"	""	"-"	"-"	""	""	"Identified SVHC"	"07-avr.-2022"	"04-août-2022"	""	""	"Netherlands"	""	"Toxic for reproduction (Article 57c)""PBT (Article 57d)""vPvB (Article 57e)""Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"02-sept.-2022"	"17-oct.-2022"	"https://echa.europa.eu/documents/10162/cb8bb054-69a3-91d4-076b-db2e30892aa3"	"https://echa.europa.eu/documents/10162/dcb92a99-8993-55f8-d868-d068bf32180b"	"2022"	"https://echa.europa.eu/documents/10162/b0a6d034-d94d-9d4e-c801-7a93bda4bb18"	"28-nov.-2022"	"https://echa.europa.eu/documents/10162/e93617bd-8bd7-627e-ca1c-4543e70e1e6b"	""	""	""	"17-janv.-2023"	"18-janv.-2023"	"12-mai-2022"	
"Ammonium perfluoroheptanoate"	""	"228-098-2"	"6130-43-4"	""	""	"Identified SVHC"	"07-avr.-2022"	"04-août-2022"	""	""	"Netherlands"	""	"Toxic for reproduction (Article 57c)""PBT (Article 57d)""vPvB (Article 57e)""Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"02-sept.-2022"	"17-oct.-2022"	"https://echa.europa.eu/documents/10162/cb8bb054-69a3-91d4-076b-db2e30892aa3"	"https://echa.europa.eu/documents/10162/dcb92a99-8993-55f8-d868-d068bf32180b"	"2022"	"https://echa.europa.eu/documents/10162/b0a6d034-d94d-9d4e-c801-7a93bda4bb18"	"28-nov.-2022"	"https://echa.europa.eu/documents/10162/e93617bd-8bd7-627e-ca1c-4543e70e1e6b"	""	""	""	"17-janv.-2023"	"18-janv.-2023"	"12-mai-2022"	
"Perfluoroheptanoic acid"	""	"206-798-9"	"375-85-9"	""	""	"Identified SVHC"	"07-avr.-2022"	"04-août-2022"	""	""	"Netherlands"	""	"Toxic for reproduction (Article 57c)""PBT (Article 57d)""vPvB (Article 57e)""Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"02-sept.-2022"	"17-oct.-2022"	"https://echa.europa.eu/documents/10162/cb8bb054-69a3-91d4-076b-db2e30892aa3"	"https://echa.europa.eu/documents/10162/dcb92a99-8993-55f8-d868-d068bf32180b"	"2022"	"https://echa.europa.eu/documents/10162/b0a6d034-d94d-9d4e-c801-7a93bda4bb18"	"28-nov.-2022"	"https://echa.europa.eu/documents/10162/e93617bd-8bd7-627e-ca1c-4543e70e1e6b"	""	""	""	"17-janv.-2023"	"18-janv.-2023"	"12-mai-2022"	
"potassium perfluoroheptanoate"	""	"-"	"21049-36-5"	""	""	"Identified SVHC"	"07-avr.-2022"	"04-août-2022"	""	""	"Netherlands"	""	"Toxic for reproduction (Article 57c)""PBT (Article 57d)""vPvB (Article 57e)""Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"02-sept.-2022"	"17-oct.-2022"	"https://echa.europa.eu/documents/10162/cb8bb054-69a3-91d4-076b-db2e30892aa3"	"https://echa.europa.eu/documents/10162/dcb92a99-8993-55f8-d868-d068bf32180b"	"2022"	"https://echa.europa.eu/documents/10162/b0a6d034-d94d-9d4e-c801-7a93bda4bb18"	"28-nov.-2022"	"https://echa.europa.eu/documents/10162/e93617bd-8bd7-627e-ca1c-4543e70e1e6b"	""	""	""	"17-janv.-2023"	"18-janv.-2023"	"12-mai-2022"	
"Sodium perfluoroheptanoate"	""	"243-518-4"	"20109-59-5"	""	""	"Identified SVHC"	"07-avr.-2022"	"04-août-2022"	""	""	"Netherlands"	""	"Toxic for reproduction (Article 57c)""PBT (Article 57d)""vPvB (Article 57e)""Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"02-sept.-2022"	"17-oct.-2022"	"https://echa.europa.eu/documents/10162/cb8bb054-69a3-91d4-076b-db2e30892aa3"	"https://echa.europa.eu/documents/10162/dcb92a99-8993-55f8-d868-d068bf32180b"	"2022"	"https://echa.europa.eu/documents/10162/b0a6d034-d94d-9d4e-c801-7a93bda4bb18"	"28-nov.-2022"	"https://echa.europa.eu/documents/10162/e93617bd-8bd7-627e-ca1c-4543e70e1e6b"	""	""	""	"17-janv.-2023"	"18-janv.-2023"	"12-mai-2022"	
"Melamine"	""	"203-615-4"	"108-78-1"	""	"613-345-00-2"	"Identified SVHC"	"21-juin-2022"	"04-août-2022"	""	""	"Germany"	""	"Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"02-sept.-2022"	"17-oct.-2022"	"https://echa.europa.eu/documents/10162/ea0f4b42-6c6c-bca2-29ee-fded8a55f7fa"	"https://echa.europa.eu/documents/10162/55c9ef76-d284-dec0-4e03-ab0c273be664"	"2022"	"https://echa.europa.eu/documents/10162/470b1aed-0ba9-c47f-c2ba-1a078c5c41a8"	"15-déc.-2022"	"https://echa.europa.eu/documents/10162/49f9ee64-f18d-778a-3052-1a292a3f32a0"	""	""	""	"17-janv.-2023"	"23-mai-2023"	"28-juin-2022"	
"Isobutyl 4-hydroxybenzoate"	""	"224-208-8"	"4247-02-3"	""	""	"Identified SVHC"	"16-mars-2022"	"04-août-2022"	""	""	"Denmark"	""	"Endocrine disrupting properties (Article 57(f) - human health)"	"02-sept.-2022"	"17-oct.-2022"	"https://echa.europa.eu/documents/10162/c47e49a3-ea6c-ee3b-1cf8-d14f49d05944""https://echa.europa.eu/documents/10162/0f98e745-557f-f986-a75c-6313aeeba15d""https://echa.europa.eu/documents/10162/69bc9a71-f2de-f83a-4008-ee52ebdd0ab7"	"https://echa.europa.eu/documents/10162/93e58868-f9b2-bb5e-1f1a-1138773fdcf7"	"2022"	"https://echa.europa.eu/documents/10162/c947ccab-7917-d301-32ae-b1d9d442c79e"	"28-nov.-2022"	"https://echa.europa.eu/documents/10162/a8697ab3-6fdc-0129-a5ec-d5778db54abc""https://echa.europa.eu/documents/10162/9a7edf85-4e3f-e3f7-1444-f25b6e9a283b""https://echa.europa.eu/documents/10162/d6ed2a8b-1e39-f908-f5f1-8cbf8fdcb40f"	""	""	""	"17-janv.-2023"	"18-janv.-2023"	"05-avr.-2022"	
"bis(2-ethylhexyl) tetrabromophthalate covering any of the individual isomers and/or combinations thereof"	""	"-"	"-"	""	""	"Identified SVHC"	"31-mars-2022"	"04-août-2022"	""	""	"Sweden"	""	"vPvB (Article 57e)"	"02-sept.-2022"	"17-oct.-2022"	"https://echa.europa.eu/documents/10162/ea2a6f0d-81da-db5c-dbfa-a5342ab3f5f5"	"https://echa.europa.eu/documents/10162/ede5f93f-6d92-d3b9-0ed8-6bc6e441da58"	"2022"	"https://echa.europa.eu/documents/10162/78917abc-fb94-33ca-ba30-b9b2cdccbd0c"	"28-nov.-2022"	"https://echa.europa.eu/documents/10162/ede74817-d546-882c-4637-3e142e612b1f"	""	""	""	"17-janv.-2023"	"18-janv.-2023"	"12-avr.-2022"	
"Bis(2-ethylhexyl) tetrabromophthalate"	""	"247-426-5"	"26040-51-7"	""	""	"Identified SVHC"	"31-mars-2022"	"04-août-2022"	""	""	"Sweden"	""	"vPvB (Article 57e)"	"02-sept.-2022"	"17-oct.-2022"	"https://echa.europa.eu/documents/10162/ea2a6f0d-81da-db5c-dbfa-a5342ab3f5f5"	"https://echa.europa.eu/documents/10162/ede5f93f-6d92-d3b9-0ed8-6bc6e441da58"	"2022"	"https://echa.europa.eu/documents/10162/78917abc-fb94-33ca-ba30-b9b2cdccbd0c"	"28-nov.-2022"	"https://echa.europa.eu/documents/10162/ede74817-d546-882c-4637-3e142e612b1f"	""	""	""	"17-janv.-2023"	"18-janv.-2023"	"12-avr.-2022"	
"Barium diboron tetraoxide"	""	"237-222-4"	"13701-59-2"	""	"056-005-00-3"	"Identified SVHC"	"16-mars-2022"	"04-août-2022"	""	""	"Sweden"	""	"Toxic for reproduction (Article 57c)"	"02-sept.-2022"	"17-oct.-2022"	"https://echa.europa.eu/documents/10162/d1a28ef6-6a93-3a9f-1aac-2b244ac2694e"	"https://echa.europa.eu/documents/10162/7f41352a-fe05-05f2-d04c-77df7d607992"	""	""	""	"https://echa.europa.eu/documents/10162/46d927be-18d2-79de-e757-7dbd58959e7a"	""	""	""	"17-janv.-2023"	"01-mars-2024"	"12-avr.-2022"	
"4,4'-sulphonyldiphenol"	""	"201-250-5"	"80-09-1"	""	"604-098-00-1"	"Identified SVHC"	"24-mars-2022"	"04-août-2022"	""	""	"Belgium"	""	"Toxic for reproduction (Article 57c)""Endocrine disrupting properties (Article 57(f) - environment)""Endocrine disrupting properties (Article 57(f) - human health)"	"02-sept.-2022"	"17-oct.-2022"	"https://echa.europa.eu/documents/10162/7028b2ac-9978-5773-3e8f-7f30cf94c227"	"https://echa.europa.eu/documents/10162/ea49b609-5f7a-cfec-36ef-4343cc19a66f"	"2022"	"https://echa.europa.eu/documents/10162/a4abf0c7-05f8-5139-74ff-fd287e295c93"	"28-nov.-2022"	"https://echa.europa.eu/documents/10162/c56f5f46-4b20-1b01-069e-52b7e5805b6d"	""	""	""	"17-janv.-2023"	"23-mai-2023"	"23-mai-2022"	
"2,2',6,6'-tetrabromo-4,4'-isopropylidenediphenol"	""	"201-236-9"	"79-94-7"	""	"604-074-00-0"	"Identified SVHC"	"23-nov.-2021"	"04-août-2022"	""	""	"Norway"	""	"Carcinogenic (Article 57a)"	"02-sept.-2022"	"17-oct.-2022"	"https://echa.europa.eu/documents/10162/3dfab98b-2863-91bb-71a4-c9c0859d2342"	"https://echa.europa.eu/documents/10162/cf59297a-874d-914b-3314-ac9b534579a7"	""	""	""	"https://echa.europa.eu/documents/10162/d7d8a147-aa14-84ca-96d5-7ab1fb74511d"	""	""	""	"17-janv.-2023"	"18-janv.-2023"	"09-déc.-2021"	
"1,1'-[ethane-1,2-diylbisoxy]bis[2,4,6-tribromobenzene]"	""	"253-692-3"	"37853-59-1"	""	""	"Identified SVHC"	"27-janv.-2022"	"04-août-2022"	""	""	"Spain"	""	"vPvB (Article 57e)"	"02-sept.-2022"	"17-oct.-2022"	"https://echa.europa.eu/documents/10162/d5473eb6-408b-b3bc-416a-74625395d5fd"	"https://echa.europa.eu/documents/10162/bdb8e23b-f1e4-f64d-d7f1-66594cc95300"	"2022"	"https://echa.europa.eu/documents/10162/47091bcc-92a4-3025-98b1-ab60002026fa"	"28-nov.-2022"	"https://echa.europa.eu/documents/10162/2966bb65-c955-04f1-f189-eec0643eeaa3"	""	""	""	"17-janv.-2023"	"18-janv.-2023"	"18-févr.-2022"	
"N-(hydroxymethyl)acrylamide"	""	"213-103-2"	"924-42-5"	""	"616-230-00-5"	"Identified SVHC"	"15-oct.-2021"	"01-févr.-2022"	""	""	"Sweden"	""	"Carcinogenic (Article 57a)""Mutagenic (Article 57b)"	"04-mars-2022"	"19-avr.-2022"	"https://echa.europa.eu/documents/10162/b81b9922-d098-5539-3f25-d367268c2208"	"https://echa.europa.eu/documents/10162/106d2329-466f-3567-9dd9-0a603e618dbb"	""	""	""	"https://echa.europa.eu/documents/10162/4ab07524-0bed-da36-08dc-780416b1e8d4"	""	""	""	"10-juin-2022"	"27-juin-2022"	"05-nov.-2021"	
"Tris(2-methoxyethoxy)vinylsilane"	""	"213-934-0"	"1067-53-4"	""	"014-050-00-6"	"Identified SVHC"	"10-juin-2021"	"05-août-2021"	""	""	"Austria"	""	"Toxic for reproduction (Article 57c)"	"03-sept.-2021"	"18-oct.-2021"	"https://echa.europa.eu/documents/10162/2bdd5810-9692-71fc-17d3-bcad5123aa19"	"https://echa.europa.eu/documents/10162/fc01235d-4de7-fc25-fe84-0e61b7d30bc3"	""	""	""	"https://echa.europa.eu/documents/10162/07841389-f2f0-21e3-06b6-ad3cee613bb0"	""	""	""	"17-janv.-2022"	"18-janv.-2022"	"02-juil.-2021"	
"S-(tricyclo(5.2.1.0'2,6)deca-3-en-8(or 9)-yl O-(isopropyl or isobutyl or 2-ethylhexyl) O-(isopropyl or isobutyl or 2-ethylhexyl) phosphorodithioate"	"X4261"	"401-850-9"	"255881-94-8"	""	"015-146-00-0"	"Identified SVHC"	"06-déc.-2020"	"05-août-2021"	""	""	"Belgium"	""	"PBT (Article 57d)"	"03-sept.-2021"	"18-oct.-2021"	"https://echa.europa.eu/documents/10162/043902bc-8f98-9ad4-8b91-31ceacd65e9a"	"https://echa.europa.eu/documents/10162/989b0d31-30bd-113d-303e-3730103138c2"	"2021"	"https://echa.europa.eu/documents/10162/9df0a093-47b4-8e4c-274b-a3ff8df36f3f"	"14-déc.-2021"	"https://echa.europa.eu/documents/10162/4a1470a3-4662-e4ac-f89a-7444ea4d5007"	""	""	""	"17-janv.-2022"	"18-janv.-2022"	"06-mai-2021"	
"6,6'-di-tert-butyl-2,2'-methylenedi-p-cresol"	""	"204-327-1"	"119-47-1"	""	"604-095-00-5"	"Identified SVHC"	"09-juin-2021"	"05-août-2021"	""	""	"Denmark"	""	"Toxic for reproduction (Article 57c)"	"03-sept.-2021"	"18-oct.-2021"	"https://echa.europa.eu/documents/10162/c4b47128-ee06-80a2-a89d-1be544f44c0b"	"https://echa.europa.eu/documents/10162/6f3debc1-3fca-6e38-7bbe-8adab8a3a6e3"	""	""	""	"https://echa.europa.eu/documents/10162/f482a4a6-69eb-af86-0049-49611b38a8d4"	""	""	""	"17-janv.-2022"	"23-mai-2023"	"02-juil.-2021"	
"(±)-1,7,7-trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2-one covering any of the individual isomers and/or combinations thereof (4-MBC)"	""	"-"	"-"	""	""	"Identified SVHC"	"26-mars-2021"	"05-août-2021"	""	""	"Denmark"	""	"Endocrine disrupting properties (Article 57(f) - human health)"	"03-sept.-2021"	"18-oct.-2021"	"https://echa.europa.eu/documents/10162/e5ffa53b-2754-a15c-ad5f-16aece3e955d"	"https://echa.europa.eu/documents/10162/2f479497-e571-fe72-9abe-928e994a9fc8"	"2021"	"https://echa.europa.eu/documents/10162/74703362-5fa8-66fd-e909-79776f99ad3b"	"29-nov.-2021"	"https://echa.europa.eu/documents/10162/6a6d37ea-30ea-5cc5-74f7-6c1f6e678fc0"	""	""	""	"17-janv.-2022"	"18-janv.-2022"	"05-mai-2021"	
