Nom chimique/DCI,Numéro CAS,Numéro CE
Warfarine (DCI) et ses sels,81-81-2,201-377-6
Bis-hydroxy-4 coumarinyl-2 acétate d'éthyle et les sels de l'acide,548-00-5,208-940-5
Méthocarbamol (DCI),0532-03-06,208-524-3
Propatylnitrate (DCI),2921-92-8,220-866-5
"Bis (hydroxy-4 oxo-2-2H-1-benzopyrane) 3 yl-1,1 méthylthio-3 propane",,
Fénadiazol (DCI),1008-65-7,
Nitroxoline (DCI) et ses sels,4008-48-4,223-662-4
"Hyoscyamine, ses sels et ses dérivés",101-31-5,202-933-0
"Hyoscyamus niger L. (feuille, semence, poudre et préparations)",84603-65-6,283-265-7
Pémoline (DCI) et ses sels,2152-34-3,218-438-8
Iode métalloïde,7553-56-2,231-442-4
"Bis-(triméthylammonio)-1,10 décane [sels de, dont bromure de décaméthonium (DCI)]",541-22-0,208-772-2
Ipéca Uragoga ipecacuanha Baill. et espèces apparentées (racines et leurs préparations),8012-96-2,232-385-8
N-(Isopropyl-2 pentène-4 oyl) urée (apronalide),528-92-7,208-443-3
Santonine,0481-06-01,207-560-7
Lobelia inflata L. et préparations,84696-23-1,283-642-6
Lobéline (DCI) et ses sels,90-69-7,202-012-3
"Acide barbiturique, ses dérivés et leurs sels",,
"Mercure et ses composés, sauf exceptions reprises dans l'annexe V",7439-97-6,231-106-7
"3,4,5-Triméthoxyphénéthylamine (mescaline) et ses sels",54-04-6,200-190-7
Polyacétaldéhyde (métaldéhyde),9002-91-9,
"(Méthoxy-2 allyl-4 phénoxy)-2N,N diéthyl acétamide et ses sels",305-13-5,
Coumétarol (DCI),4366-18-1,224-455-1
Dextrométhorphane (DCI) et ses sels,125-71-3,204-752-2
Méthylamino-2 heptane et ses sels,540-43-2,
Isométheptène (DCI) et ses sels,0503-01-05,207-959-6
Mécamylamine (DCI),60-40-2,200-476-1
Guaïfénésine (DCI),93-14-1,202-222-5
Dicoumarol (DCI),66-76-2,200-632-9
"Phenmétrazine (DCI), ses dérivés et ses sels",134-49-6,205-143-4
Thiamazol (DCI),60-56-0,200-482-4
"(Méthyl-2' méthoxy-2' phényl-4) dihydropyrano-3,4 coumarine (cyclocumarol)",518-20-7,208-248-3
Carisoprodol (DCI),78-44-4,201-118-7
Méprobamate (DCI),57-53-4,200-337-5
Téfazoline (DCI) et ses sels,1082-56-0,
Arécoline,63-75-2,200-565-5
Méthylsulfate de poldine (DCI),545-80-2,208-894-6
Hydroxyzine (DCI),68-88-2,200-693-1
Naphtol β,135-19-3,205-182-7
Naphtylamines α et β et leurs sels,134-32-7/91-59-8,205-138-7/202-080-4
α -Naphtyl-3-hydroxy-4-coumarine,39923-41-6,
Naphazoline (DCI) et ses sels,835-31-4,212-641-5
Néostigmine et ses sels dont bromure de néostigmine (DCI),114-80-7,204-054-8
Nicotine et ses sels,54-11-5,200-193-3
Nitrites d'amyle,110-46-3,203-770-8
Nitrites métalliques à l'exception du nitrite de sodium,14797-65-0,
Nitrobenzène,98-95-3,202-716-0
Nitrocrésol et leurs sels alcalins,12167-20-3,
Nitrofurantoïne (DCI),67-20-9,200-646-5
Furazolidone (DCI),67-45-8,200-653-3
"Nitroglycérine; trinitrate de propane-1,2,3-triyle",55-63-0,200-240-8
Acénocoumarol (DCI),152-72-7,205-807-3
Nitroferricyanures alcalins (dont nitroprussiates),14402-89-2/13755-38-9,238-373-9 / -
"Nitrostilbènes, homologues et leurs dérivés",,
Noradrénaline et ses sels,51-41-2,200-096-6
Noscapine (DCI) et ses sels,128-62-1,204-899-2
Guanéthidine (DCI) et ses sels,55-65-2,200-241-3
Œstrogène (substances à effet),,
Oléandrine,465-16-7,207-361-5
Chlortalidone (DCI),77-36-1,201-022-5
Pelletiérine et ses sels,2858-66-4/4396-01-4,220-673-6/224-523-0
Pentachloroéthane,76-01-7,200-925-1
Tétranitrate de pentaérithrityle (DCI),78-11-5,201-084-3
Pétrichloral (DCI),78-12-6,
Octamylamine (DCI) et ses sels,502-59-0,207-947-0
Acide picrique,88-89-1,201-865-9
Phénacémide (DCI),63-98-9,200-570-2
Difencloxazine (DCI),5617-26-5,
"Phényl-2 indanedione- 1,3 [phénindione (DCI)]",83-12-5,201-454-4
Éthylphénacémide [phénéturide (DCI)],90-49-3,201-998-2
Phenprocoumone (DCI),435-97-2,207-108-9
Fényramidol (DCI),553-69-5,209-044-7
Triamtérène (DCI) et ses sels,396-01-0,206-904-3
Pyrophosphate de tétraéthyle,107-49-3,203-495-3
Phosphate de tricrésyle,1330-78-5,215-548-8
Psilocybine (DCI),520-52-5,208-294-4
Phosphore et phosphures métalliques,7723-14-0,231-768-7
Thalidomide (DCI) et ses sels,50-35-1,200-031-1
Physostigma Venenosum Balf.,89958-15-6,289-638-0
Picrotoxine,124-87-8,204-716-6
Pilocarpine et ses sels,92-13-7,202-128-4
"α-Pipéridyl (-2) benzylacétate forme L., thréolévogyre [lévophacétopérane (DCI)] et ses sels",24558-01-08,
Pipradrol (DCI) et ses sels,467-60-7,207-394-5
Azacyclonol (DCI) et ses sels,115-46-8,204-092-5
Biétamivérine (DCI),479-81-2,207-538-7
Butopiprine (DCI) et ses sels,55837-15-5,259-848-7
Plomb et ses composés,7439-92-1,231-100-4
Coniïne,458-88-8,207-282-6
Prunus laurocerasus L. (eau distillée de laurier-cerise),89997-54-6,289-689-9
Métyrapone (DCI),54-36-4,200-206-2
"Substances radioactives, telles que définies par la directive 96/29/Euratom (1) fixant les normes de base relatives à la protection sanitaire de la population et des travailleurs contre les dangers résultant des rayonnements ionisants",,
"Juniperus sabina L. (feuilles, huile essentielle et préparations)",90046-04-01,289-971-1
"Scopolamine, ses sels et ses dérivés",51-34-3,200-090-3
Sels d'or,,
"Sélénium et ses composés à l'exception du disulfure de sélénium dans les conditions prévues à l'annexe III, numéro 49",7782-49-2,231-957-4
Solanum nigrum L. et ses préparations,84929-77-1,284-555-6
Spartéine (DCI) et ses sels,90-39-1,201-988-8
Glucocorticoïdes (corticostéroïdes),,
Datura stramonium L. et ses préparations,84696-08-02,283-627-4
"Strophantines, leurs génines (strophantidines) et leurs dérivés respectifs",11005-63-3,234-239-9
Strophanthus (espèces) et leurs préparations,,
Strychnine et ses sels,57-24-9,200-319-7
Strychnos (espèces) et leurs préparations,,
Stupéfiants: toute substance énumérée aux tableaux I et II de la convention unique sur les stupéfiants signée à New-York le 30 mars 1961,,
Sulfonamides (para-amino benzène sulfonamide et ses dérivés obtenus par substitution d'un ou de plusieurs atomes d'hydrogène liés à un atome d'azote) et leurs sels,,
Sultiame (DCI),61-56-3,200-511-0
Néodyme et ses sels,7440-00-8,231-109-3
Thiotépa (DCI),52-24-4,200-135-7
Pilocarpus Jaborandi Holmes et ses préparations,84696-42-4,283-649-4
Tellure et ses composés,13494-80-9,236-813-4
Xylométazoline (DCI) et ses sels,526-36-3,208-390-6
Tétrachloréthylène,127-18-4,204-825-9
Tétrachlorure de carbone,56-23-5,200-262-8
Tétraphosphate d'hexaéthyle,757-58-4,212-057-0
Thallium et ses composés,7440-28-0,231-138-1
Glucosides de Thevitia neriifolia Juss,90147-54-9,290-446-4
Éthionamide (DCI),536-33-4,208-628-9
Phénothiazine (DCI) et ses composés,92-84-2,202-196-5
"Thiourée et ses dérivés, sauf exception reprise dans l'annexe III",62-56-6,200-543-5
Méphénésine (DCI) et ses esters,59-47-2,200-427-4
"Vaccins, toxines ou sérums définis comme des médicaments immunologiques aux termes de l'article 1er, point 4, de la directive 2001/83/CE",,
Tranylcypromine (DCI) et ses sels,0155-09-09,205-841-9
Trichloronitro méthane,76-06-2,200-930-9
Tribromoéthanol (avertine),75-80-9,200-903-1
Trichlorméthine (DCI) et ses sels,0817-09-04,212-442-3
Trétamine (DCI),51-18-3,200-083-5
Triéthiodure de gallamine (DCI),65-29-2,200-605-1
Urginea Scilla Steinh. et ses préparations,84650-62-4,283-520-2
Vératrine et ses sels,8051-02-03,613-062-00-4
"Schoenocaulon officinale Lind., ses semences et préparations",84604-18-2,283-296-6
Veratrum Spp. et leurs préparations,90131-91-2,290-407-1
Chlorure de vinyl monomère,75-01-4,200-831-0
Ergocalciférol (DCI) et cholécalciférol (vitamine D2 et D3),50-14-6/67-97-0,200-014-9/200-673-2
Xanthates alcalins et alkylxanthates,,
Yohimbine et ses sels,146-48-5,205-672-0
Diméthylsulfoxyde (DCI),67-68-5,200-664-3
Diphénhydramine (DCI) et ses sels,58-73-1,200-396-7
p-tert-Butylphénol,98-54-4,202-679-0
4-tert-Butylpyrocatechol,98-29-3,202-653-9
Dihydrotachystérol (DCI),67-96-9,200-672-7
"Dioxane (1,4 diéthylène dioxyde)",123-91-1,204-661-8
Morpholine et ses sels,110-91-8,203-815-1
Pyrethrum album L. et ses préparations,,
Maléate de 2-[4-méthoxybenzyl-N-(2-pyridul)amino]éthyldiméthylamine (maléate de mépyramine; maléate de pyrilamine),59-33-6,200-422-7
Tripelennamine (DCI),91-81-6,202-100-1
Tétrachlorosalicylanilides,7426-07-05,
Dichlorosalicylanilides,1147-98-4,
Tétrabromosalicylanilides,,
Dibromosalicylanilides,,
Bithionol (DCI),97-18-7,202-565-0
Monosulfures thio-uramiques,97-74-5,202-605-7
"Diméthylformamide (N,N-diméthylformamide)",68-12-2,200-679-5
4-Phénylbuténone (acétone benzylidène),122-57-6,204-555-1
"Benzoates d'alcool 4-hydroxy-3-méthoxycinnamylique (coniféryle), sauf teneurs normales dans les essences naturelles utilisées",,
"Furocoumarines [dont trioxysalen (DCI), méthoxy-8 psoralène, méthoxy-5 psoralène] sauf teneurs normales dans les essences naturelles utilisées.
 Dans les crèmes solaires et les produits bronzants, les furocoumarines doivent être en quantité inférieure à 1 mg/kg",3902-71-4/298-81-7/484-20-8,223-459-0/206-066-9/207-604-5
Huile de graines de Laurus nobilis L.,84603-73-6,283-272-5
"Safrol sauf teneurs normales dans les huiles naturelles utilisées et à la condition que la concentration ne dépasse pas:
 100 ppm dans le produit fini, 50 ppm dans les produits d'hygiène dentaire et buccale, à condition que le safrol ne soit pas présent dans les dentifrices destinés spécialement aux enfants",94-59-7,202-345-4
"Dihypoiodite de 5,5'-diisopropyl-2,2'-diméthylbiphényle-4,4'-diyle (iodothymol)",552-22-7,209-007-5
"Éthyl-3'-tétrahydro-5',6',7',8'-tétraméthyl-5',5',8',8'-acétonaphtone-2' ou tétraméthyl-1,1,4,4-éthyl-6-acétyl-7-tétrahydro naphtalène-1,2,3,4 (AETT; Versalide)",88-29-9,201-817-7
"1,2-Diaminobenzène et ses sels",95-54-5,202-430-6
"4-Méthyl-m-phénylenediamine (2,4-diaminotoluène) et ses sels",95-80-7,202-453-1
"Acide aristolochique et ses sels, Aristolochia spp. et leurs préparations",475-80-9/313-67-7/15918-62-4,202-499-6/206-238-3 /-
Chloroforme,67-66-3,200-663-8
"2,3,7,8-Tétra chlorodibenzo-p-dioxine (TCDD)",1746-01-06,217-122-7
"6-Acétoxy-2,4-diméthyl-1,3-dioxane (Diméthoxane)",828-00-2,212-579-9
Pyridine thio-2-N-oxyde: sel de sodium (Pyrithione sodique),3811-73-2,223-296-5
"N-(Trichlorométhylthio) cyclohexène-4-dicarboximide 1,2 (captan - ISO)",0133-06-02,205-087-0
"2,2'-Dihydroxy-3,3',5,5',6,6'-hexachlorodiphenylméthane [hexachlorophène (DCI)]",70-30-4,200-733-8
"3-Oxyde de 6-(pipérindinyl)-2,4-pyrimidine diamine [minoxidil (DCI)] et ses sels",38304-91-5,253-874-2
"3,4',5-Tribromosalicylanilide [tribromsalan (DCI)]",87-10-5,201-723-6
Phytolacca spp. et leurs préparations,65497-07-6/60820-94-2,
Trétinoïn (DCI) (acide rétinoïque et ses sels),302-79-4,206-129-0
"1-Méthoxy-2,4-diaminobenzène (2,4-diaminoanisole - CI 76050) et ses sels",0615-05-04,210-406-1
"1-Méthoxy-2,5-diaminobenzène (2,5-diaminoanisole) et ses sels",5307-02-08,226-161-9
Colorant CI 12140,3118-97-6,221-490-4
Colorant CI 26105 (Solvent Red 24),85-83-6,201-635-8
"Colorant CI 42555 (Basic Violet 3)
 Colorant CI 42555:1
 Colorant CI 42555:2","548-62-9
 467-63-0","208-953-6
 207-396-6"
Amyl-4-diméthylaminobenzoate (mélange d'isomères) [Padimate A (DCI)],14779-78-3,238-849-6
2-Amino-4-nitrophénol,99-57-0,202-767-9
2-Amino-5-nitrophénol,121-88-0,204-503-8
"α-Hydroxy-11 prégnène-4-dione-3,20 et ses esters",80-75-1,201-306-9
"Colorant CI 42640; [4-[[4-(diméthylamino)phényl][4-[éthyl(3-sulfonatobenzyl)amino]phényl]méthylène]cyclohexa-2,5-diène-1-ylidène](éthyl) (3-sulfonatobenzyl)ammonium, sel de sodium",1694-09-03,216-901-9
Colorant CI 13065,587-98-4,209-608-2
Colorant CI 42535 (Basic Violet 1),8004-87-3,
Colorant CI 61554 (Solvent Blue 35),17354-14-2,241-379-4
Antiandrogènes à structure stéroïdienne,,
"Zirconium et ses composés, à l'exception des substances inscrites sous le numéro d'ordre 50 de l'annexe III, et les laques, pigments ou sels de zirconium des colorants lorsqu'ils figurent à l'annexe IV",7440-67-7,231-176-9
Acétonitrile,75-05-8,200-835-2
Tétrahydrozoline [Tétryzoline (DCI)] et ses sels,84-22-0,201-522-3
"Hydroxy-8-quinoléine et son sulfate, le sulfate de bis(8-hydroxyquinoléinium), à l’exception des utilisations dudit sulfate prévues à la ligne no 51 de l’annexe III","148-24-3
 134-31-6","205-711-1
 205-137-1"
"Dithio-2,2’-bispyridine-dioxyde 1,1’ (produit d'addition avec le sulfate de magnésium trihydraté)-(pyrithione disulfure + sulfate de magnésium)",43143-11-9,256-115-3
"Colorant CI 12075 (Pigment Orange 5) et ses laques, pigments et sels",3468-63-1,222-429-4
Colorant CI 45170 et CI 45170:1 (Basic Violet 10),81-88-9/509-34-2,201-383-9/208-096-8
Lidocaïne (DCI),137-58-6,205-302-8
"1,2-Époxybutane",106-88-7,203-438-2
Colorant CI 15585,5160-02-1/2092-56-0,225-935-3/218-248-5
Lactate de strontium,29870-99-3,249-915-9
Nitrate de strontium,10042-76-9,233-131-9
Polycarboxylate de strontium,,
Pramocaïne (DCI),140-65-8,205-425-7
4-Éthoxy-m-phénylènediamine et ses sels,5862-77-1,
"2,4-Diamino-phényléthanol et ses sels",14572-93-1,
