Nom chimique/DCI,Dénomination commune du glossaire des ingrédients,Numéro CAS,Numéro CE,"Type de produit, parties du corps",Concentration maximale dans les préparations prêtes à l'emploi,Autres,
p-phénylènediamine et ses sels,"p-Phenylenediamine;
 p-Phenylenediamine HCl;
 p-Phenylenediamine Sulfate",106-50-3/624-18-0/16245-77-5,203-404-7/210-834-9/240-357-1,Colorants d’oxydation pour la coloration des cheveux,,a) Usage général,"a) Doit figurer sur l’étiquetage:
 le ratio de mélange.
 «Les colorants capillaires peuvent provoquer des réactions allergiques sévères.
 Lire et suivre les instructions.
 Ce produit n’est pas destiné à être utilisé sur les personnes de moins de 16 ans.
 Les tatouages temporaires noirs à base de henné peuvent augmenter le risque d’allergie.
 Ne vous colorez pas les cheveux si:
  — vous présentez une éruption cutanée sur le visage ou si votre cuir chevelu est sensible, irrité ou abîmé,
 
  — vous avez déjà fait une réaction après avoir coloré vos cheveux,
 
  — vous avez fait par le passé une réaction à un tatouage temporaire noir à base de henné.
 
 Contient des diaminobenzènes.
 Ne pas employer pour la coloration des cils et des sourcils.»"
,,,,,,"b) Usage professionnel
 a) et b): Après mélange en conditions d’oxydation, la teneur maximale appliquée sur les cheveux ne doit pas dépasser 2 % calculés en base libre.","b) Doit figurer sur l’étiquetage:
 le ratio de mélange.
 «Réservé aux professionnels.
  Les colorants capillaires peuvent provoquer des réactions allergiques sévères.
 Lire et suivre les instructions.
 Ce produit n’est pas destiné à être utilisé sur les personnes de moins de 16 ans.
 Les tatouages temporaires noirs à base de henné peuvent augmenter le risque d’allergie.
 Ne vous colorez pas les cheveux si:
  — vous présentez une éruption cutanée sur le visage ou si votre cuir chevelu est sensible, irrité ou abîmé,
 
  — vous avez déjà fait une réaction après avoir coloré vos cheveux,
 
  — vous avez fait par le passé une réaction à un tatouage temporaire noir à base de henné.
 
 Contient des diaminobenzènes.
 Porter des gants appropriés.»"
p-Phénylènediamine et ses sels,"p-Phenylenediamine;
 p-Phenylenediamine HCl;
 p-Phenylenediamine Sulfate",106-50-3 / 624-18-0 / 16245-77-5,203-404-7 / 210-834-9 / 240-357-1,Produits destinés à la coloration des cils,,"Après mélange dans des conditions d’oxydation, la concentration maximale appliquée sur les cils ne doit pas dépasser 2 % calculés en base libre.
 Usage professionnel uniquement","Doit figurer sur l’étiquetage:
 le ratio de mélange.
 «Réservé aux professionnels.
  Ce produit peut provoquer des réactions allergiques sévères.
 Lire et suivre les instructions.
 Ce produit n’est pas destiné à être utilisé sur les personnes de moins de seize ans.
 Les tatouages temporaires noirs à base de henné peuvent augmenter le risque d’allergie.
 Ne pas utiliser pour colorer les cils:
  — d’une personne présentant une éruption cutanée sur le visage ou un cuir chevelu sensible, irrité ou abîmé,
 
  — d’une personne ayant déjà fait une réaction après avoir coloré ses cheveux ou ses cils,
 
  — d’une personne ayant fait par le passé une réaction à un tatouage temporaire noir à base de henné.
 
 Rincer immédiatement les yeux si le produit entre en contact avec ceux-ci.
 Contient des phénylènediamines.
 Porter des gants appropriés.»"
"Éthanol, 2,2′-[(2-nitro-1,4-phénylène)diimino]bis-(9CI)","N,N′-Bis(2-Hydroxyethyl)-2-Nitro-p-Phenylenediamine",84041-77-0,281-856-4,a) Colorant d'oxydation pour la coloration des cheveux,,"a) À partir du 3 septembre 2017, après mélange dans des conditions d'oxydation, la concentration maximale appliquée à la chevelure ne doit pas dépasser 1,0 %.
 Pour a) et b), à partir du 3 septembre 2017:
  — ne pas utiliser avec des agents de nitrosation,
 
  — teneur maximale en nitrosamine: 50 μg/kg
 
  — à conserver dans des récipients sans nitrite.","a) À partir du 3 mars 2018 doit figurer sur l'étiquetage:
 le ratio de mélange.
 «Les colorants capillaires peuvent provoquer des réactions allergiques sévères.
 Lire et suivre les instructions.
 Ce produit n'est pas destiné à être utilisé sur les personnes de moins de 16 ans.
 Les tatouages temporaires noirs à base de henné peuvent augmenter le risque d'allergie.
 Ne vous colorez pas les cheveux si:
  — vous présentez une éruption cutanée sur le visage ou si votre cuir chevelu est sensible, irrité ou abîmé,
 
  — vous avez déjà fait une réaction après avoir coloré vos cheveux,
 
  — vous avez fait par le passé une réaction à un tatouage temporaire noir à base de henné.»"
,,,,b) Colorant non oxydant pour la coloration des cheveux,"b) À partir du 3 septembre 2017: 1,5 %",,
"Diaminotoluènes, leurs dérivés substitués à l’azote et leurs sels (1), à l’exception des substances figurant sous les numéros d’ordre 9 bis et 9 ter de la présente annexe et des substances figurant sous les numéros d’ordre 364, 413, 1144, 1310, 1313 et 1507 de l’annexe II",,,,Colorant d’oxydation pour la coloration des cheveux,,a) Usage général,"a) Doit figurer sur l’étiquetage:
 le ratio de mélange
 «Les colorants capillaires peuvent provoquer des réactions allergiques sévères.
 Lire et suivre les instructions.
 Ce produit n’est pas destiné à être employé chez les personnes de moins de 16 ans.
 Les tatouages temporaires noirs à base de henné peuvent augmenter le risque d’allergie.
 Ne vous colorez pas les cheveux si:
  — vous présentez une éruption cutanée sur le visage ou si votre cuir chevelu est sensible, irrité ou abîmé,
 
  — vous avez déjà fait une réaction après avoir coloré vos cheveux,
 
  — vous avez fait par le passé une réaction à un tatouage temporaire noir à base de henné.
 
 Contient des phénylènediamines (toluènediamines).
 Ne pas employer pour la coloration des cils et des sourcils.»"
,,,,,,b) Usage professionnel,b) Doit figurer sur l’étiquetage:
,,,,,,"Pour a) et b): Après mélange en conditions d’oxydation, la teneur maximale appliquée sur les cheveux ne doit pas dépasser 5 % calculés en base libre.
 le ratio de mélange.","«Réservé aux professionnels.
 Les colorants capillaires peuvent provoquer des réactions allergiques sévères.
 Lire et suivre les instructions.
 Ce produit n’est pas destiné à être utilisé sur les personnes de moins de 16 ans.
 Les tatouages temporaires noirs à base de henné peuvent augmenter le risque d’allergie.
 Ne vous colorez pas les cheveux si:
  — vous présentez une éruption cutanée sur le visage ou si votre cuir chevelu est sensible, irrité ou abîmé,
 
  — vous avez déjà fait une réaction après avoir coloré vos cheveux,
 
  — vous avez fait par le passé une réaction à un tatouage temporaire noir à base de henné.
 
 Contient des phénylènediamines (toluènediamines).
 Porter des gants adéquats.»"
"1,4-Benzènediamine, 2-méthyl-
 Sulfate de 2,5-diaminotoluène","Toluene-2,5-Diamine
 Toluene-2,5-Diamine Sulfate (1)","95-70-5
 615-50-9","202-442-1
 210-431-8",a) Colorant d'oxydation pour la coloration des cheveux,,"a) i) Usage général
 a) ii) Usage professionnel","a) Doit figurer sur l'étiquetage: le ratio de mélange.
 «Les colorants capillaires peuvent provoquer des réactions allergiques sévères. Lire et suivre les instructions. Ce produit n'est pas destiné à être utilisé sur les personnes de moins de 16 ans. Les tatouages temporaires noirs à base de henné peuvent augmenter le risque d'allergie.
 Ne vous colorez pas les cheveux si:
  — vous présentez une éruption cutanée sur le visage ou si votre cuir chevelu est sensible, irrité ou abîmé,
 
  — vous avez déjà fait une réaction après avoir coloré vos cheveux,
 
  — vous avez fait par le passé une réaction à un tatouage temporaire noir à base de henné.
 
 Contient des phénylènediamines (toluènediamines).
 a) i) Ne pas utiliser pour teindre les cils.
 a) ii) Porter des gants appropriés.
 Réservé aux professionnels.»
 b) À partir du 3 mars 2018 doit figurer sur l'étiquetage: le ratio de mélange.
 «Ce produit peut provoquer des réactions allergiques sévères. Lire et suivre les instructions.
 Ce produit n'est pas destiné à être utilisé sur les personnes de moins de 16 ans. Les tatouages temporaires noirs à base de henné peuvent augmenter le risque d'allergie.
 Ne pas utiliser pour colorer les cils:
  — d'une personne présentant une éruption cutanée sur le visage ou un cuir chevelu sensible, irrité ou abîmé,
 
  — d'une personne ayant déjà fait une réaction après avoir coloré ses cheveux ou ses cils,
 
  — d'une personne ayant fait par le passé une réaction à un tatouage temporaire noir à base de henné.
 
 Rincer immédiatement les yeux si le produit entre en contact avec ceux-ci.
 Contient des phénylènediamines (toluènediamines).
 Porter des gants appropriés.
 Réservé aux professionnels.»"
,,,,b) Produits destinés à la coloration des cils,,"b) Usage professionnel
 Pour a) et b): après mélange dans des conditions d'oxydation, la concentration maximale appliquée à la chevelure ou aux cils ne doit pas dépasser 2,0 % (calculée en base libre) ou 3,6 % (calculée en sel de sulfate)",
"1-Méthyl-2,6-bis-(2-hydroxyéthylamino)-benzène","2,6-Dihydroxyethylaminotoluene",149330-25-6,443-210-1,Colorant d'oxydation pour la coloration des cheveux,,"À partir du 3 septembre 2017, après mélange dans des conditions d'oxydation, la concentration maximale appliquée à la chevelure ne doit pas dépasser 1,0 %
  — Ne pas utiliser avec des agents de nitrosation
 
  — Teneur maximale en nitrosamine: 50 μg/kg
 
  — À conserver dans des récipients sans nitrite","À partir du 3 mars 2018 doit figurer sur l'étiquetage:
 le ratio de mélange.
 «Les colorants capillaires peuvent provoquer des réactions allergiques sévères.
 Lire et suivre les instructions.
 Ce produit n'est pas destiné à être utilisé sur les personnes de moins de 16 ans.
 Les tatouages temporaires noirs à base de henné peuvent augmenter le risque d'allergie.
 Ne vous colorez pas les cheveux si:
  — vous présentez une éruption cutanée sur le visage ou si votre cuir chevelu est sensible, irrité ou abîmé,
 
  — vous avez déjà fait une réaction après avoir coloré vos cheveux,
 
  — vous avez fait par le passé une réaction à un tatouage temporaire noir à base de henné.»"
,,,,,,,
Dichlorophène,Dichlorophen,97-23-4,202-567-1,,"0,5 %",,Contient: Dichlorophen
"Peroxyde d'hydrogène et autres composés ou mélanges libérant du peroxyde d'hydrogène, dont le peroxyde de carbamide et le peroxyde de zinc, à l'exclusion des substances suivantes de l'annexe II:
  — No 1397, 1398, 1399",Hydrogen peroxide,7722-84-1,231-765-0,a) Produits pour les cheveux et la pilosité faciale,"a) 12 % de H2O2 (40 volumes), présent ou libéré",,"a) f) Porter des gants appropriés.
 a), b), c) et e)
 Contient du peroxyde d'hydrogène.
 Éviter le contact avec les yeux.
 Rincer immédiatement les yeux si le produit entre en contact avec ceux-ci."
,,,,b) Produits pour la peau,"b) 4 % de H2O2, présent ou libéré",,
,,,,c) Produits pour durcir les ongles,"c) 2 % de H2O2, présent ou libéré",,
,,,,"d) Produits bucco-dentaires, y compris les produits de rinçage buccal, les dentifrices et les produits de blanchiment ou d'éclaircissement des dents","d) ≤ 0,1 % de H2O2, présent ou libéré",,
,,,,e) Produits de blanchiment ou d'éclaircissement des dents,"e) > 0,1 % et ≤ 6 % de H2O2, présent ou libéré","e) Doit être vendu uniquement à des praticiens de l'art dentaire. Pour chaque cycle d'utilisation, la première utilisation doit être effectuée par des praticiens de l'art dentaire au sens de la directive 2005/36/CE du Parlement européen et du Conseil (15), ou sous leur supervision directe, si un niveau de sécurité équivalent est assuré.
 Ensuite, à fournir au consommateur pour terminer le cycle d'utilisation.
 Ne pas utiliser chez les enfants/adolescents âgés de moins de 18 ans.","e) Concentration de H2O2 présent ou libéré indiquée en pourcentage.
 Ne pas utiliser chez les enfants/adolescents âgés de moins de 18 ans.
 Doit être vendu uniquement à des praticiens de l'art dentaire. Pour chaque cycle d'utilisation, la première utilisation doit être effectuée uniquement par des praticiens de l'art dentaire ou sous leur supervision directe, si un niveau de sécurité équivalent est assuré.
 Ensuite, à fournir au consommateur pour terminer le cycle d'utilisation."
,,,,f) Produits destinés aux cils,"f) 2 % de H2O2, présent ou libéré",f) Réservé aux professionnels,"f) Doit figurer sur l'étiquetage:
  «Réservé aux professionnels.
 
  Éviter le contact avec les yeux.
 
  Rincer immédiatement les yeux si le produit entre en contact avec ceux-ci.
 
  Contient du peroxyde d'hydrogène»"
Hydroquinone,Hydroquinone,123-31-9,204-617-8,Préparations pour ongles artificiels,"0,02 % (après mélange pour utilisations)",Usage professionnel uniquement,"— Pour usage professionnel uniquement
 
  — Éviter le contact avec la peau
 
  — Lire attentivement le mode d’emploi"
Hydroxyde de potassium/hydroxyde de sodium (21),Potassium hydroxide/sodium hydroxide,1310-58-3/1310-73-2,215-181-3/215-185-5,a) Solvant des cuticules des ongles,a) 5 % (5),,"a) Contient un agent alcalin
 Éviter tout contact avec les yeux
 Danger de cécité
 Conserver hors de portée des enfants"
,,,,b) Produits pour le défrisage des cheveux,2 % (5),Usage général,"Contient un agent alcalin
 Éviter tout contact avec les yeux
 Danger de cécité
 Conserver hors de portée des enfants"
,,,,,"4,5 % (5)",Usage professionnel,"Réservé aux professionnels
 Éviter tout contact avec les yeux
 Danger de cécité"
,,,,c) Régulateur de pH pour dépilatoires,,"c) pH < 12,7","c) Conserver hors de portée des enfants
 Éviter tout contact avec les yeux"
,,,,d) Autres usages comme régulateur de pH,,d) pH < 11,
Hydroxyde de lithium,Lithium hydroxide,1310-65-2,215-183-4,a) Produits pour le défrisage des cheveux,2 % (6),Usage général,"a) Contient un agent alcalin
 Éviter le contact avec les yeux
 Danger de cécité
 Conserver hors de portée des enfants"
,,,,,"4,5 % (6)",Usage professionnel,"Éviter le contact avec les yeux
 Danger de cécité"
,,,,b) Régulateurs de pH pour dépilatoires,,"pH < 12,7","b) Contient un agent alcalin
 Conserver hors de portée des enfants
 Éviter le contact avec les yeux"
,,,,c) Autres usages en tant que régulateurs de pH (uniquement pour les produits à rincer),,pH < 11,
Hydroxyde de calcium,Calcium hydroxide,1305-62-0,215-137-3,"a) Produits pour le défrisage des cheveux, contenant deux composants: de l'hydroxyde de calcium et un sel de guanidine",a) 7 % (enhydroxyde de calcium),,"a) Contient un agent alcalin
 Éviter le contact avec les yeux
 Conserver hors de portée des enfants
 Danger de cécité"
,,,,b) Régulateurs de pH pour dépilatoires,,"b) pH < 12,7","b) Contient un agent alcalin
 Conserver hors de portée des enfants
 Éviter le contact avec les yeux"
,,,,"c) Autres usages (par exemple régulateur de pH, auxiliaire de fabrication)",,c) pH < 11,
Hydroxyde de potassium (22),Potassium hydroxide,1310-58-3,215-181-3,Produits destinés à ramolli/éliminer les callosités,"1,5 % (5)",,"Contient un agent alcalin
 Éviter tout contact avec les yeux
 Conserver hors de portée des enfants
 Lire attentivement le mode d'emploi"
1-naphtalénol,1-Naphthol,90-15-3,201-969-4,Substance utilisée dans des teintures capillaires oxydantes,,"Après mélange dans des conditions d’oxydation, la teneur maximale appliquée à la chevelure ne doit pas dépasser 2,0 %.","Le rapport de mélange doit figurer sur l’étiquetage.
 «Les colorants capillaires peuvent provoquer des réactions allergiques sévères.
 Lire et suivre les instructions.
 Ce produit n’est pas destiné à être utilisé sur les personnes de moins de seize ans.
 Les tatouages temporaires noirs à base de henné peuvent augmenter le risque d’allergie.
 Ne colorez pas vos cheveux si:
  — vous présentez une éruption cutanée sur le visage ou si votre cuir chevelu est sensible, irrité ou abîmé,
 
  — vous avez déjà fait une réaction après avoir coloré vos cheveux,
 
  — vous avez fait par le passé une réaction à un tatouage temporaire noir à base de henné.»"
Nitrite de sodium,Sodium nitrite,7632-00-0,231-555-9,Inhibiteur de corrosion,"0,2 %",Ne pas employer avec les amines secondaires et/ou tertiaires ou d'autres substances qui forment des nitrosamines,
Nitrométhane,Nitromethane,75-52-5,200-876-6,Inhibiteur de corrosion,"0,3 %",,
Déplacé ou supprimé,,,,,,,
Déplacé ou supprimé,,,,,,,
"(8α, 9R)-6'-Méthoxycinchonane-9-ol et ses sels",Quinine,130-95-0,205-003-2,a) Produits pour les cheveux à rincer,"a) 0,5 % (en quinine base)",,
,,,,b) Produits pour les cheveux sans rinçage,"b) 0,2 % (en quinine base)",,
"Benzène-1,3-diol",Resorcinol,108-46-3,203-585-2,a) Colorant d’oxydation pour la coloration des cheveux,,"Pour a) et b):
 Après mélange dans des conditions d’oxydation, la teneur maximale appliquée à la chevelure ou aux cils ne doit pas dépasser 1,25 %. ◄","►M4   
 a) Doit figurer sur l’étiquetage: 
 le ratio de mélange. 
 «Les colorants capillaires peuvent provoquer des réactions allergiques sévères. 
 Lire et suivre les instructions. 
 Ce produit n’est pas destiné à être utilisé sur les personnes de moins de seize ans. 
 Les tatouages temporaires noirs à base de henné peuvent augmenter le risque d’allergie. 
 Ne vous colorez pas les cheveux si: 
 — vous présentez une éruption cutanée sur le visage ou si votre cuir chevelu est sensible, irrité ou abîmé,
 
  — vous avez déjà fait une réaction après avoir coloré vos cheveux,
 
  — vous avez fait par le passé une réaction à un tatouage temporaire noir à base de henné.
 
 
 Contient de la résorcine. 
 Bien rincer les cheveux après application. 
 Rincer immédiatement les yeux si le produit entre en contact avec ceux-ci. 
 Ne pas employer pour la coloration des cils et des sourcils.»  ◄"
,,,,►M4   b) Produits destinés à la coloration des cils,,b) Usage professionnel uniquement ◄,"►M4   
 b) Doit figurer sur l’étiquetage: 
 le ratio de mélange. 
 «Réservé aux professionnels. 
 Contient de la résorcine. 
 Ce produit peut provoquer des réactions allergiques sévères. 
 Lire et suivre les instructions. 
 Ce produit n’est pas destiné à être utilisé sur les personnes de moins de seize ans. 
 Les tatouages temporaires noirs à base de henné peuvent augmenter le risque d’allergie. 
 Ne pas utiliser pour colorer les cils: 
 — d’une personne présentant une éruption cutanée sur le visage ou un cuir chevelu sensible, irrité ou abîmé,
 
  — d’une personne ayant déjà fait une réaction après avoir coloré ses cheveux ou ses cils,
 
  — d’une personne ayant fait par le passé une réaction à un tatouage temporaire noir à base de henné.
 
 
 Rincer immédiatement les yeux si le produit entre en contact avec ceux-ci.»  ◄"
,,,,►M4   c) Lotions capillaires et shampooings,"c) 0,5 % ◄",,"►M4   
 c) Contient de la résorcine.  ◄"
a) Sulfures alcalins,,,,a) Dépilatoires,a) 2 % (en soufre),"pH ≤ 12,7","a) b) Conserver hors de portée des enfants
 Éviter tout contact avec les yeux"
b) Sulfures alcalinoterreux,,,,b) Dépilatoires,b) 6 % (en soufre),,
"Sels de zinc hydrosolubles à l'exception du bis(4-hydroxybenzènesulfonate) de zinc (no 25) et de la pyrithione de zinc (no 101 et annexe V, no 8)","Zinc acetate, zinc chloride, zinc gluconate, zinc glutamate",,,,1 % (en zinc),,
Bis(4-Hydroxybenzènesulfonate) de zinc,Zinc phenolsulfonate,127-82-2,204-867-8,"Déodorants, antiperspirants et lotions astringentes",6 % (en % de matière anhydre),,Éviter tout contact avec les yeux
Monofluorophosphate d’ammonium,Ammonium Monofluorophosphate,20859-38-5/66115-19-3,—/—,Produits bucco-dentaires,"0,15 % calculée en F.
 En cas de mélange avec d’autres composés fluorés autorisés par la présente annexe, la concentration maximale en F reste fixée à 0,15 %.",,"Contient du monofluoro-phosphate d’ammonium.
 Sauf s’il est indiqué sur l’étiquetage qu’ils sont contre-indiqués pour les enfants (par exemple, par une mention type «pour adultes seulement»), les dentifrices contenant des composés dont la concentration en fluor est comprise entre 0,1 et 0,15 % calculée en F doivent obligatoirement porter les mentions suivantes:
 «Enfants de 6 ans et moins: utiliser une quantité de dentifrice de la taille d’un petit pois sous la surveillance d’un adulte afin d’en minimiser l’ingestion. En cas d’apport de fluorures provenant d’autres sources, consultez un dentiste ou un médecin.»"
Fluorophosphate de disodium,Sodium Monofluorophosphate,10163-15-2/7631-97-2,233-433-0/231-552-2,Produits bucco-dentaires,"0,15 % calculée en F.
 En cas de mélange avec d’autres composés fluorés autorisés par la présente annexe, la concentration maximale en F reste fixée à 0,15 %.",,"Contient du monofluorophosphate de sodium.
 Sauf s’il est indiqué sur l’étiquetage qu’ils sont contre-indiqués pour les enfants (par exemple, par une mention type «pour adultes seulement»), les dentifrices contenant des composés dont la concentration en fluor est comprise entre 0,1 et 0,15 % calculée en F doivent obligatoirement porter les mentions suivantes:
 «Enfants de 6 ans et moins: utiliser une quantité de dentifrice de la taille d’un petit pois sous la surveillance d’un adulte afin d’en minimiser l’ingestion. En cas d’apport de fluorures provenant d’autres sources, consultez un dentiste ou un médecin.»"
Fluorophosphate de dipotassium,Potassium Monofluorophosphate,14104-28-0,237-957-0,Produits bucco-dentaires,"0,15 % calculée en F.
 En cas de mélange avec d’autres composés fluorés autorisés par la présente annexe, la concentration maximale en F reste fixée à 0,15 %.",,"Contient du monofluorophosphate de potassium.
 Sauf s’il est indiqué sur l’étiquetage qu’ils sont contre-indiqués pour les enfants (par exemple, par une mention type «pour adultes seulement»), les dentifrices contenant des composés dont la concentration en fluor est comprise entre 0,1 et 0,15 % calculée en F doivent obligatoirement porter les mentions suivantes:
 «Enfants de 6 ans et moins: utiliser une quantité de dentifrice de la taille d’un petit pois sous la surveillance d’un adulte afin d’en minimiser l’ingestion. En cas d’apport de fluorures provenant d’autres sources, consultez un dentiste ou un médecin.»"
Fluorophosphate de calcium,Calcium Monofluorophosphate,7789-74-4,232-187-1,Produits bucco-dentaires,"0,15 % calculée en F.
 En cas de mélange avec d’autres composés fluorés autorisés par la présente annexe, la concentration maximale en F reste fixée à 0,15 %.",,"Contient du monofluorophosphate de calcium.
 Sauf s’il est indiqué sur l’étiquetage qu’ils sont contre-indiqués pour les enfants (par exemple, par une mention type «pour adultes seulement»), les dentifrices contenant des composés dont la concentration en fluor est comprise entre 0,1 et 0,15 % calculée en F doivent obligatoirement porter les mentions suivantes:
 «Enfants de 6 ans et moins: utiliser une quantité de dentifrice de la taille d’un petit pois sous la surveillance d’un adulte afin d’en minimiser l’ingestion. En cas d’apport de fluorures provenant d’autres sources, consultez un dentiste ou un médecin.»"
Fluorure de calcium,Calcium Fluoride,7789-75-5,232-188-7,Produits bucco-dentaires,"0,15 % calculée en F.
 En cas de mélange avec d’autres composés fluorés autorisés par la présente annexe, la concentration maximale en F reste fixée à 0,15 %.",,"Contient du fluorure de calcium.
 Sauf s’il est indiqué sur l’étiquetage qu’ils sont contre-indiqués pour les enfants (par exemple, par une mention type «pour adultes seulement»), les dentifrices contenant des composés dont la concentration en fluor est comprise entre 0,1 et 0,15 % calculée en F doivent obligatoirement porter les mentions suivantes:
 «Enfants de 6 ans et moins: utiliser une quantité de dentifrice de la taille d’un petit pois sous la surveillance d’un adulte afin d’en minimiser l’ingestion. En cas d’apport de fluorures provenant d’autres sources, consultez un dentiste ou un médecin.»"
Fluorure de sodium,Sodium Fluoride,7681-49-4,231-667-8,Produits bucco-dentaires,"0,15 % calculée en F.
 En cas de mélange avec d’autres composés fluorés autorisés par la présente annexe, la concentration maximale en F reste fixée à 0,15 %.",,"Contient du fluorure de sodium.
 Sauf s’il est indiqué sur l’étiquetage qu’ils sont contre-indiqués pour les enfants (par exemple, par une mention type «pour adultes seulement»), les dentifrices contenant des composés dont la concentration en fluor est comprise entre 0,1 et 0,15 % calculée en F doivent obligatoirement porter les mentions suivantes:
 «Enfants de 6 ans et moins: utiliser une quantité de dentifrice de la taille d’un petit pois sous la surveillance d’un adulte afin d’en minimiser l’ingestion. En cas d’apport de fluorures provenant d’autres sources, consultez un dentiste ou un médecin.»"
Fluorure de potassium,Potassium Fluoride,7789-23-3,232-151-5,Produits bucco-dentaires,"0,15 % calculée en F.
 En cas de mélange avec d’autres composés fluorés autorisés par la présente annexe, la concentration maximale en F reste fixée à 0,15 %.",,"Contient du fluorure de potassium.
 Sauf s’il est indiqué sur l’étiquetage qu’ils sont contre-indiqués pour les enfants (par exemple, par une mention type «pour adultes seulement»), les dentifrices contenant des composés dont la concentration en fluor est comprise entre 0,1 et 0,15 % calculée en F doivent obligatoirement porter les mentions suivantes:
 «Enfants de 6 ans et moins: utiliser une quantité de dentifrice de la taille d’un petit pois sous la surveillance d’un adulte afin d’en minimiser l’ingestion. En cas d’apport de fluorures provenant d’autres sources, consultez un dentiste ou un médecin.»"
